utility_area,fiscal_year,grid_ef_tco2_kwh,grid_ef_kgco2_kwh,source
hokkaido,2005,0.00049,0.49,reported
hokkaido,2006,0.000491,0.491,interpolated
hokkaido,2007,0.000492,0.492,interpolated
hokkaido,2008,0.000492,0.492,interpolated
hokkaido,2009,0.000493,0.493,interpolated
hokkaido,2010,0.000494,0.494,reported
hokkaido,2011,0.00053,0.53,interpolated
hokkaido,2012,0.000567,0.567,interpolated
hokkaido,2013,0.000603,0.603,interpolated
hokkaido,2014,0.00064,0.64,interpolated
hokkaido,2015,0.000676,0.676,reported
hokkaido,2016,0.000661,0.661,interpolated
hokkaido,2017,0.000646,0.646,interpolated
hokkaido,2018,0.000631,0.631,interpolated
hokkaido,2019,0.000616,0.616,interpolated
hokkaido,2020,0.000601,0.601,reported
hokkaido,2021,0.000584,0.584,interpolated
hokkaido,2022,0.000567,0.567,interpolated
hokkaido,2023,0.00055,0.55,interpolated
hokkaido,2024,0.000533,0.533,reported
tohoku,2005,0.000435,0.435,reported
tohoku,2006,0.000439,0.439,interpolated
tohoku,2007,0.000443,0.443,interpolated
tohoku,2008,0.000447,0.447,interpolated
tohoku,2009,0.000451,0.451,interpolated
tohoku,2010,0.000455,0.455,reported
tohoku,2011,0.000478,0.478,interpolated
tohoku,2012,0.000501,0.501,interpolated
tohoku,2013,0.000525,0.525,interpolated
tohoku,2014,0.000548,0.548,interpolated
tohoku,2015,0.000571,0.571,reported
tohoku,2016,0.000561,0.561,interpolated
tohoku,2017,0.000551,0.551,interpolated
tohoku,2018,0.000541,0.541,interpolated
tohoku,2019,0.000531,0.531,interpolated
tohoku,2020,0.000521,0.521,reported
tohoku,2021,0.00051,0.51,interpolated
tohoku,2022,0.000499,0.499,interpolated
tohoku,2023,0.000488,0.488,interpolated
tohoku,2024,0.000477,0.477,reported
tokyo,2005,0.000332,0.332,reported
tokyo,2006,0.000341,0.341,interpolated
tokyo,2007,0.000349,0.349,interpolated
tokyo,2008,0.000358,0.358,interpolated
tokyo,2009,0.000366,0.366,interpolated
tokyo,2010,0.000375,0.375,reported
tokyo,2011,0.0004,0.4,interpolated
tokyo,2012,0.000425,0.425,interpolated
tokyo,2013,0.00045,0.45,interpolated
tokyo,2014,0.000475,0.475,interpolated
tokyo,2015,0.0005,0.5,reported
tokyo,2016,0.000488,0.488,interpolated
tokyo,2017,0.000476,0.476,interpolated
tokyo,2018,0.000465,0.465,interpolated
tokyo,2019,0.000453,0.453,interpolated
tokyo,2020,0.000441,0.441,reported
tokyo,2021,0.000445,0.445,interpolated
tokyo,2022,0.000449,0.449,interpolated
tokyo,2023,0.000453,0.453,interpolated
tokyo,2024,0.000457,0.457,reported
chubu,2005,0.000412,0.412,reported
chubu,2006,0.00042,0.42,interpolated
chubu,2007,0.000429,0.429,interpolated
chubu,2008,0.000437,0.437,interpolated
chubu,2009,0.000446,0.446,interpolated
chubu,2010,0.000454,0.454,reported
chubu,2011,0.000466,0.466,interpolated
chubu,2012,0.000478,0.478,interpolated
chubu,2013,0.000489,0.489,interpolated
chubu,2014,0.000501,0.501,interpolated
chubu,2015,0.000513,0.513,reported
chubu,2016,0.000501,0.501,interpolated
chubu,2017,0.000489,0.489,interpolated
chubu,2018,0.000478,0.478,interpolated
chubu,2019,0.000466,0.466,interpolated
chubu,2020,0.000454,0.454,reported
chubu,2021,0.000449,0.449,interpolated
chubu,2022,0.000443,0.444,interpolated
chubu,2023,0.000438,0.438,interpolated
chubu,2024,0.000433,0.433,reported
hokuriku,2005,0.000495,0.495,reported
hokuriku,2006,0.000504,0.504,interpolated
hokuriku,2007,0.000513,0.513,interpolated
hokuriku,2008,0.000523,0.523,interpolated
hokuriku,2009,0.000532,0.532,interpolated
hokuriku,2010,0.000541,0.541,reported
hokuriku,2011,0.000559,0.559,interpolated
hokuriku,2012,0.000577,0.577,interpolated
hokuriku,2013,0.000596,0.596,interpolated
hokuriku,2014,0.000614,0.614,interpolated
hokuriku,2015,0.000632,0.632,reported
hokuriku,2016,0.000619,0.619,interpolated
hokuriku,2017,0.000606,0.606,interpolated
hokuriku,2018,0.000593,0.593,interpolated
hokuriku,2019,0.00058,0.58,interpolated
hokuriku,2020,0.000567,0.567,reported
hokuriku,2021,0.000547,0.547,interpolated
hokuriku,2022,0.000527,0.527,interpolated
hokuriku,2023,0.000507,0.507,interpolated
hokuriku,2024,0.000487,0.487,reported
kansai,2005,0.000282,0.282,reported
kansai,2006,0.000288,0.288,interpolated
kansai,2007,0.000294,0.294,interpolated
kansai,2008,0.000299,0.299,interpolated
kansai,2009,0.000305,0.305,interpolated
kansai,2010,0.000311,0.311,reported
kansai,2011,0.000355,0.355,interpolated
kansai,2012,0.000399,0.399,interpolated
kansai,2013,0.000443,0.443,interpolated
kansai,2014,0.000487,0.487,interpolated
kansai,2015,0.000531,0.531,reported
kansai,2016,0.000496,0.496,interpolated
kansai,2017,0.000461,0.461,interpolated
kansai,2018,0.000427,0.427,interpolated
kansai,2019,0.000392,0.392,interpolated
kansai,2020,0.000357,0.357,reported
kansai,2021,0.000358,0.358,interpolated
kansai,2022,0.000358,0.358,interpolated
kansai,2023,0.000359,0.359,interpolated
kansai,2024,0.00036,0.36,reported
chugoku,2005,0.000612,0.612,reported
chugoku,2006,0.000614,0.614,interpolated
chugoku,2007,0.000615,0.615,interpolated
chugoku,2008,0.000617,0.617,interpolated
chugoku,2009,0.000618,0.618,interpolated
chugoku,2010,0.00062,0.62,reported
chugoku,2011,0.000632,0.632,interpolated
chugoku,2012,0.000644,0.644,interpolated
chugoku,2013,0.000655,0.655,interpolated
chugoku,2014,0.000667,0.667,interpolated
chugoku,2015,0.000679,0.679,reported
chugoku,2016,0.00066,0.66,interpolated
chugoku,2017,0.000642,0.642,interpolated
chugoku,2018,0.000623,0.623,interpolated
chugoku,2019,0.000605,0.605,interpolated
chugoku,2020,0.000586,0.586,reported
chugoku,2021,0.000574,0.574,interpolated
chugoku,2022,0.000562,0.561,interpolated
chugoku,2023,0.000549,0.549,interpolated
chugoku,2024,0.000537,0.537,reported
shikoku,2005,0.000395,0.395,reported
shikoku,2006,0.000402,0.402,interpolated
shikoku,2007,0.000409,0.409,interpolated
shikoku,2008,0.000415,0.415,interpolated
shikoku,2009,0.000422,0.422,interpolated
shikoku,2010,0.000429,0.429,reported
shikoku,2011,0.000465,0.465,interpolated
shikoku,2012,0.0005,0.5,interpolated
shikoku,2013,0.000536,0.536,interpolated
shikoku,2014,0.000571,0.571,interpolated
shikoku,2015,0.000607,0.607,reported
shikoku,2016,0.000584,0.584,interpolated
shikoku,2017,0.000562,0.562,interpolated
shikoku,2018,0.000539,0.539,interpolated
shikoku,2019,0.000517,0.517,interpolated
shikoku,2020,0.000494,0.494,reported
shikoku,2021,0.000463,0.463,interpolated
shikoku,2022,0.000432,0.432,interpolated
shikoku,2023,0.000401,0.401,interpolated
shikoku,2024,0.00037,0.37,reported
kyushu,2005,0.000337,0.337,reported
kyushu,2006,0.000343,0.343,interpolated
kyushu,2007,0.00035,0.35,interpolated
kyushu,2008,0.000356,0.356,interpolated
kyushu,2009,0.000363,0.363,interpolated
kyushu,2010,0.000369,0.369,reported
kyushu,2011,0.000404,0.404,interpolated
kyushu,2012,0.000438,0.438,interpolated
kyushu,2013,0.000473,0.473,interpolated
kyushu,2014,0.000507,0.507,interpolated
kyushu,2015,0.000542,0.542,reported
kyushu,2016,0.000507,0.507,interpolated
kyushu,2017,0.000473,0.473,interpolated
kyushu,2018,0.000438,0.438,interpolated
kyushu,2019,0.000404,0.404,interpolated
kyushu,2020,0.000369,0.369,reported
kyushu,2021,0.000379,0.379,interpolated
kyushu,2022,0.000388,0.388,interpolated
kyushu,2023,0.000398,0.398,interpolated
kyushu,2024,0.000407,0.407,reported
okinawa,2005,0.000853,0.853,reported
okinawa,2006,0.000855,0.855,interpolated
okinawa,2007,0.000857,0.857,interpolated
okinawa,2008,0.000858,0.858,interpolated
okinawa,2009,0.00086,0.86,interpolated
okinawa,2010,0.000862,0.862,reported
okinawa,2011,0.000861,0.861,interpolated
okinawa,2012,0.000861,0.861,interpolated
okinawa,2013,0.00086,0.86,interpolated
okinawa,2014,0.00086,0.86,interpolated
okinawa,2015,0.000859,0.859,reported
okinawa,2016,0.000845,0.845,interpolated
okinawa,2017,0.00083,0.83,interpolated
