prefecture,muni_code,facility_code,facility_name,throughput_t_year,capacity_t_day,n_furnaces,year_started,heat_util_status,power_capacity_kw,power_efficiency_pct,power_generated_mwh,power_sold_mwh,heating_value_kj_kg,furnace_type,operation_mode,waste_type,facility_type,sell_revenue_yen,fiscal_year,facility_age,has_power_gen,capacity_utilization,energy_efficiency_mwh_per_t
北海道,01100,0110001001,札幌市駒岡清掃工場,160454,600,2,1985,場内温水 場内蒸気 発電（場内利用） 場外温水 場外蒸気 発電（場外利用）,4960,6,29421,,40166.4,ストーカ式(可動),全連続運転,可燃ごみ 直接搬入ごみ ごみ処理残渣,焼却,,2005,20,True,0.732666666666667,0.183360963266731
北海道,01100,0110001007,札幌市篠路清掃工場,122804,600,2,1980,場内温水 場内蒸気 発電（場内利用） 発電（場外利用）,4800,6,27290,,46024,ストーカ式(可動),全連続運転,可燃ごみ 直接搬入ごみ ごみ処理残渣,焼却,,2005,25,True,0.560748858447489,0.222224031790495
北海道,01100,0110001010,札幌市白石清掃工場,244424,900,3,2002,場内温水 場内蒸気 発電（場内利用） 発電（場外利用）,30000,18,133340,,27949.12,ストーカ式(可動),全連続運転,可燃ごみ 直接搬入ごみ ごみ処理残渣,焼却,,2005,3,True,0.744060882800609,0.545527444113508
北海道,01100,0110001011,札幌市発寒清掃工場,176715,600,2,1992,場内温水 場内蒸気 発電（場内利用） 場外温水 場外蒸気 発電（場外利用）,4960,5,31957,,38074.4,ストーカ式(可動),全連続運転,可燃ごみ 直接搬入ごみ ごみ処理残渣,焼却,,2005,13,True,0.806917808219178,0.180839204368616
北海道,01202,0120201001,函館市日乃出清掃工場,53158,180,1,1992,場内温水 場内蒸気 発電（場内利用） 場外温水,1600,8,9614,,6778.08,ストーカ式(可動),全連続運転,可燃ごみ ごみ処理残渣 し尿処理残渣,焼却,,2005,13,True,0.80910197869102,0.180857067609767
北海道,01202,0120201002,函館市日乃出清掃工場,56089,240,2,1975,無し,0,0,0,,6778.08,ストーカ式(可動),全連続運転,可燃ごみ ごみ処理残渣 し尿処理残渣,焼却,,2005,30,False,0.640285388127854,0
北海道,01202,0120201003,函館市恵山クリーンセンター焼却施設,0,17,2,1997,場内温水,0,0,0,,0,ストーカ式(可動),バッチ運転,可燃ごみ ごみ処理残渣,焼却,,2005,8,False,0,
北海道,01204,0120401001,旭川市近文清掃工場,67842,280,2,1996,場内温水 場内蒸気 発電（場内利用） 場外蒸気 発電（場外利用）,1800,7,11829,,17874.048,ストーカ式(可動),全連続運転,可燃ごみ 直接搬入ごみ,焼却,,2005,9,True,0.663816046966732,0.174361015300256
北海道,01208,0120801001,北見市廃棄物処理場　ごみ処理施設,34895,165,3,2001,場内温水 発電（場内利用） その他,1900,2,3154,,28660.4,流動床式,全連続運転,可燃ごみ 直接搬入ごみ 粗大ごみ ごみ処理残渣,焼却,,2005,4,True,0.579410543794105,0.0903854420404069
北海道,01210,0121001001,岩見沢市じん芥処理センター焼却施設,2986,9.6,2,1992,無し,0,0,0,,0,固定床式,バッチ運転,可燃ごみ,焼却,,2005,13,False,0.852168949771689,0
北海道,01210,0121001002,北村農産廃棄物処理施設,76,4.8,1,1992,無し,0,0,0,,0,ストーカ式(可動),バッチ運転,可燃ごみ,焼却,,2005,13,False,0.04337899543379,0
北海道,01213,0121301001,苫小牧市糸井清掃センター,39324,200,1,1982,場内温水 発電（場内利用）,750,4,3758,,7832.448,ストーカ式(可動),全連続運転,可燃ごみ 直接搬入ごみ し尿処理残渣,焼却,,2005,23,True,0.538684931506849,0.0955650493337402
北海道,01213,0121301002,苫小牧市沼ノ端クリーンセンター,40661,210,2,1999,場内温水 場内蒸気 発電（場内利用） 場外温水 発電（場外利用）,2000,11,12583,,10079.256,ストーカ式(可動),全連続運転,可燃ごみ 直接搬入ごみ,焼却,,2005,6,True,0.53047619047619,0.309461154423157
