record_type,label,value,ci_low,ci_high,observations,facilities,year_start,year_end
age_mean,0-10 yrs,0.3996220703,0.3868725042,0.4123716364,1900,535,,
age_mean,10-20 yrs,0.3376906794,0.3253070391,0.3500743196,1928,448,,
age_mean,20-30 yrs,0.2719449159,0.2580222983,0.2858675336,1440,380,,
age_mean,30+ yrs,0.1833223518,0.1606015206,0.206043183,415,121,,
rank_correlation,FY2005-06,0.8931365774,,,263,263,2005,2006
rank_correlation,FY2006-07,0.8848166118,,,261,261,2006,2007
rank_correlation,FY2007-08,0.9546509004,,,226,226,2007,2008
rank_correlation,FY2008-09,0.9335282815,,,242,242,2008,2009
rank_correlation,FY2013-14,0.9620338472,,,275,275,2013,2014
rank_correlation,FY2014-15,0.9310500538,,,285,285,2014,2015
rank_correlation,FY2015-16,0.9444539607,,,310,310,2015,2016
rank_correlation,FY2016-17,0.8938471353,,,324,324,2016,2017
rank_correlation,FY2017-18,0.9285255434,,,341,341,2017,2018
rank_correlation,FY2018-19,0.8891791738,,,335,335,2018,2019
rank_correlation,FY2020-21,0.9493669847,,,364,364,2020,2021
rank_correlation,FY2021-22,0.9763403688,,,371,371,2021,2022
rank_correlation,FY2022-23,0.9309037384,,,383,383,2022,2023
rank_correlation,FY2023-24,0.9699536455,,,388,388,2023,2024
