fiscal_year,official_code_year_duplicate_groups,rows_in_official_duplicate_groups,max_rows_per_official_code,stable_site_year_duplicate_groups,rows_in_stable_site_duplicate_groups,max_rows_per_stable_site
2005,3,6,2,0,0,1
2006,0,0,1,0,0,1
2007,19,38,2,0,0,1
2008,31,91,23,0,0,1
2009,30,88,23,0,0,1
2010,0,0,0,0,0,1
2011,0,0,0,0,0,1
2012,0,0,0,0,0,1
2013,0,0,1,0,0,1
2014,0,0,1,0,0,1
2015,0,0,1,0,0,1
2016,0,0,1,0,0,1
2017,0,0,1,0,0,1
2018,0,0,1,0,0,1
2019,0,0,1,0,0,1
2020,0,0,1,0,0,1
2021,0,0,1,0,0,1
2022,0,0,1,0,0,1
2023,0,0,1,0,0,1
2024,0,0,1,0,0,1
