source_record_id,fiscal_year,prefecture,muni_code,facility_code,facility_name,stable_site_id,identity_predecessor_year,identity_predecessor_record_id,predecessor_facility_code,predecessor_facility_name,identity_match_score,identity_match_current_row_margin,identity_match_current_alternative_score,identity_match_current_alternative_record_id,current_alternative_facility_code,current_alternative_facility_name,identity_match_prior_record_margin,identity_match_prior_competitor_score,identity_match_prior_competitor_record_id,prior_competitor_facility_code,prior_competitor_facility_name,identity_match_margin,identity_match_uncertain,identity_match_uncertainty_reason,identity_match_strong_evidence_override,identity_match_method
record_44460f6482999f9531af,2007,三重県,24201,2420101001,津市西部クリーンセンター,site_2f8dbc35a0b2,2006,record_490f1c322172a2d92e95,2420101003,津市西部クリーンセンター,195,-10,205,record_a9c9c0bcb746ce8ade5c,2420101001,津市西部クリーンセンター,20,175,record_959d86932eb1be4ccee2,2420101001,津市西部クリーンセンター,-10,True,low_current_row_margin,True,name_exact+municipality+start_year+capacity+furnaces+facility_type+gap=1
record_b8e7654df7aba86df1b2,2007,岐阜県,21895,2189501001,西濃環境保全センター,site_fb214fdee22e,2006,record_e1425bcb228ef0121dca,2189501003,西濃環境保全センター,195,0,195,record_8930ecf8251e271d204a,2189501001,西濃環境保全センター,30,165,record_c330c987636f59341c5a,2189501001,西濃環境保全センター,0,True,low_current_row_margin,True,name_exact+municipality+start_year+capacity+furnaces+facility_type+gap=1
record_8a04abe1ac254ec8a28d,2007,栃木県,09213,0921301001,黒磯清掃センター,site_dc23d33ef704,2006,record_21e48b64a7784f6b49c4,0921301002,黒磯清掃センター,195,-12,207,record_f7d3bde7309fa2e97aa4,0921301001,黒磯清掃センター,18,177,record_ea19a085d9cfb275f3bc,0921301001,黒磯清掃センター,-12,True,low_current_row_margin,True,name_exact+municipality+start_year+capacity+furnaces+facility_type+gap=1
record_da94996928dc4104ff28,2007,神奈川県,14818,1481801001,高座清掃施設組合ごみ処理施設,site_8040cc56c327,2006,record_ae865bbe45ae537130fe,1481801002,高座清掃施設組合ごみ処理施設,195,0,195,record_dd402f55fc26cf62e05c,1481801001,高座清掃施設組合ごみ処理施設,30,165,record_21a91c4cf7f7f414b2e0,1481801001,高座清掃施設組合ごみ処理施設,0,True,low_current_row_margin,True,name_exact+municipality+start_year+capacity+furnaces+facility_type+gap=1
record_90815dc978468af75702,2007,長野県,20361,2036101001,下諏訪町清掃センター,site_60d6f9426708,2006,record_70949e01af495d49a649,2036101002,下諏訪町清掃センター,195,2,193,record_ab037956a00c21e67690,2036101001,下諏訪町清掃センター,32,163,record_1abc5e3e67e65a499a19,2036101001,下諏訪町清掃センター,2,True,low_current_row_margin,True,name_exact+municipality+start_year+capacity+furnaces+facility_type+gap=1
record_c7f31511fb59b1b92391,2007,鹿児島県,46201,4620101001,鹿児島市旧北部清掃工場,site_c4026d4b0a5a,2006,record_36f4f9063bb70e40482e,4620101001,鹿児島市北部清掃工場,171.666666666667,68,103.666666666667,record_2cdb9ee17aa3cf1f1632,4620101003,鹿児島市北部清掃工場,-15.3333333333333,187,record_fde5a6f591877263bb3a,4620101001,鹿児島市北部清掃工場,-15.3333333333333,True,low_prior_record_competitor_margin,True,code+name_fuzzy=0.952+municipality+start_year+capacity+furnaces+facility_type+gap=1
record_71305d8884c093c8e357,2008,北海道,01202,0120201001,函館市日乃出清掃工場,site_8cdea4ac5e04,2007,record_ae778a68427a89c17925,0120201001,函館市日乃出清掃工場,205,18,187,record_b60c7b8beb38491e1d67,0120201001,函館市日乃出清掃工場,-2,207,record_8c01a52d9fd7b7eeb99a,0120201001,函館市日乃出清掃工場,-2,True,low_prior_record_competitor_margin,True,code+name_exact+municipality+capacity+furnaces+facility_type+gap=1
record_6258fc62c2c2b9222ef6,2014,大分県,44836,4483601002,藤ヶ谷清掃センター　高効率ごみ発電施設,site_ea9f814c23c7,2013,record_e12c1c10e7c0edd6da0b,4483601002,藤ヶ谷清掃センター,149.8,inf,,,,,-7.19999999999999,157,record_10e128fdd83f8fe3f7e0,4483601001,藤ヶ谷清掃センター,-7.19999999999999,True,low_prior_record_competitor_margin,True,code+name_fuzzy=0.640+municipality+start_year+capacity+furnaces+facility_type+gap=1
record_a3c34de0991ebab136c9,2016,兵庫県,28100,2810001005,港島クリーンセンター,site_bb15975fa69e,2015,record_d0fa9accb6e1f25ed707,2810001005,新港島クリーンセンター（仮称）,163.947368421053,1.94736842105263,162,record_72325733bedcaf291a8e,2810001002,港島クリーンセンター,59.9473684210526,104,record_358cfd70bff82212d446,2810001003,苅藻島クリーンセンター,1.94736842105263,True,low_current_row_margin,True,code+name_fuzzy=0.842+municipality+start_year+capacity+furnaces+facility_type+gap=1
record_12d98c2af7c3b02cf408,2017,鹿児島県,46304,4630401004,十島村悪石島焼却施設,site_1bec519c15c3,2016,record_1f55827da9edafbd9589,4630401006,十島村悪石島焼却施設,195,0,195,record_18519a1c35e1f7492a1b,4630401005,十島村悪石島焼却施設,50,145,record_5b2fdbd96c98573257aa,4630401005,十島村悪石島焼却施設,0,True,low_current_row_margin,True,name_exact+municipality+start_year+capacity+furnaces+facility_type+gap=1
record_5b2fdbd96c98573257aa,2017,鹿児島県,46304,4630401005,十島村悪石島焼却施設,site_63976e1a7115,2016,record_18519a1c35e1f7492a1b,4630401005,十島村悪石島焼却施設,175,30,145,record_1f55827da9edafbd9589,4630401006,十島村悪石島焼却施設,-20,195,record_12d98c2af7c3b02cf408,4630401004,十島村悪石島焼却施設,-20,True,low_prior_record_competitor_margin,True,code+name_exact+municipality+gap=1
record_20b53529cf94255d377b,2018,鹿児島県,46304,4630401005,十島村諏訪之瀬島焼却施設,site_63976e1a7115,2017,record_5b2fdbd96c98573257aa,4630401005,十島村悪石島焼却施設,105.909090909091,-26.3636363636364,132.272727272727,record_0c86fa26f71782f6241a,4630401001,十島村中之島焼却施設,-39.0909090909091,145,record_41090fcec8c80942dc99,4630401003,十島村悪石島焼却施設,-39.0909090909091,True,low_current_row_margin+low_prior_record_competitor_margin,True,code+name_fuzzy=0.727+municipality+gap=1
record_41090fcec8c80942dc99,2018,鹿児島県,46304,4630401003,十島村悪石島焼却施設,site_1bec519c15c3,2017,record_12d98c2af7c3b02cf408,4630401004,十島村悪石島焼却施設,157,-4,161,record_c160a4556a61337bfa6f,4630401003,十島村口之島焼却施設,34,123,record_d65fe77b38d8ef8a3d63,4630401004,十島村口之島焼却施設,-4,True,low_current_row_margin,True,name_exact+municipality+capacity+furnaces+facility_type+gap=1
