series,prior_operating_status,pathway_category,event_time,rows,events,mean_mwh_t,se_mwh_t,mean_rank_pct,se_rank_pct,mean_incumbent_mwh_t,mean_difference_mwh_t
All entrants,,,0,125,125,0.3237215713,0.01551045669,0.5145561912,0.02984440162,0.3293244537,-0.005602882403
All entrants,,,1,102,102,0.3375879984,0.017818557,0.5482928582,0.03311789496,0.3282845591,0.009303439326
All entrants,,,2,91,91,0.3246305935,0.0181870894,0.5205056972,0.03452313063,0.3346960293,-0.0100654358
All entrants,,,3,71,71,0.3387460369,0.02060396863,0.5292063913,0.03731650648,0.3399103258,-0.001164288871
Prior operating status,No exact prior-year row,,0,34,34,0.3463928835,0.02127119977,0.6083705774,0.04740286262,0.3032135441,0.04317933944
Prior operating status,Operating prior year,,0,55,55,0.2958170031,0.02790028882,0.4569127353,0.04997963507,0.3373282132,-0.04151121008
Prior operating status,Zero/missing prior throughput,,0,36,36,0.3449417557,0.02570896621,0.5140201064,0.05182039649,0.3417567914,0.00318496425
Prior operating status,No exact prior-year row,,1,36,36,0.3647859643,0.02453329655,0.6324449346,0.04803905088,0.3049736517,0.05981231261
Prior operating status,Operating prior year,,1,40,40,0.2908378931,0.03309970679,0.4574409343,0.05851668188,0.3377241588,-0.04688626569
Prior operating status,Zero/missing prior throughput,,1,26,26,0.3718525153,0.03183667331,0.5715467892,0.06140035286,0.3460387389,0.02581377635
Prior operating status,No exact prior-year row,,2,32,32,0.3553195602,0.02323745521,0.6161062326,0.05116189626,0.3119027621,0.04341679816
Prior operating status,Operating prior year,,2,33,33,0.2443523743,0.03399266165,0.3652945152,0.05980155771,0.3470295421,-0.1026771678
Prior operating status,Zero/missing prior throughput,,2,26,26,0.3887511434,0.03046895998,0.5998423078,0.05733877117,0.3470952073,0.04165593606
Prior operating status,No exact prior-year row,,3,30,30,0.3517570183,0.02578623447,0.5763785395,0.05126400983,0.3282324059,0.0235246124
Prior operating status,Operating prior year,,3,22,22,0.2982997665,0.04765983597,0.4373975255,0.07699082841,0.3488825328,-0.05058276638
Prior operating status,Zero/missing prior throughput,,3,19,19,0.3650349059,0.03536687541,0.5610290547,0.06892015601,0.3479602755,0.01707463044
Pathway at entry,,Forward-dated / placeholder entry,0,7,7,0.3582461474,0.04022061891,0.5166075618,0.09819573229,0.355772918,0.002473229483
Pathway at entry,,In-place upgrade / continuity transition,0,34,34,0.205935496,0.035903469,0.288084409,0.06294371218,0.3361182971,-0.1301828011
Pathway at entry,,Reset / rebuild-like transition,0,49,49,0.3850891494,0.0208727236,0.6083376979,0.04098246105,0.3388427336,0.0462464158
Pathway at entry,,Timing-ambiguous / non-adjacent coded row,0,34,34,0.3463928835,0.02127119977,0.6083705774,0.04740286262,0.3032135441,0.04317933944
Pathway at entry,,Unresolved / insufficient continuity,0,1,1,0.3089401586,,0.4152542373,,0.3345697438,-0.02562958519
