fiscal_year,era_code,source_url,source_url_status,filename,repository_path,file_status,file_nonempty,sha256,byte_size,retrieval_timestamp_utc,retrieval_timestamp_status,file_mtime_utc,repository_commit_timestamp,timestamp_basis,workbook_format,parser_engine,workbook_sheet_count,workbook_sheet_names_json,parser_sheet_index_zero_based,parser_sheet_name,raw_sheet_nonempty,raw_sheet_rows,raw_sheet_columns,data_start_row_zero_based,data_start_row_excel,candidate_data_rows,detected_standardized_fields,unavailable_standardized_fields,unavailable_field_names,schema_mapping_sha256
2005,h17,https://www.env.go.jp/recycle/waste_tech/ippan/h17/data/seibi/facility/01.xls,configured_downloader_pattern_not_network_revalidated,fy2005_incineration.xls,data/raw/facility_annual/fy2005_incineration.xls,present,True,e4857ebc41050e8f118e92e45673b4865601811d4f6390f37fe02bd214b50c9b,752640,unavailable,not_recorded_by_downloader,unavailable_not_persisted,2026-04-13T11:29:30+07:00,git_last_commit_not_original_retrieval_time,xls,xlrd,1,"[""焼却""]",0,焼却,True,1320,44,2,3,1318,17,2,power_sold_mwh;sell_revenue_yen,707ecc92f0cec5e0972392ff2d393552746476c33fe40f27b947c43f65ce1fb9
2006,h18,https://www.env.go.jp/recycle/waste_tech/ippan/h18/data/seibi/facility/01.xls,configured_downloader_pattern_not_network_revalidated,fy2006_incineration.xls,data/raw/facility_annual/fy2006_incineration.xls,present,True,44d89b3e6e8b79eac3e936b3d66aeaa7de1ebb6dea855167b9822b1b1a9ed47b,725504,unavailable,not_recorded_by_downloader,unavailable_not_persisted,2026-04-13T11:29:30+07:00,git_last_commit_not_original_retrieval_time,xls,xlrd,1,"[""焼却""]",0,焼却,True,1303,43,2,3,1301,17,2,power_sold_mwh;sell_revenue_yen,707ecc92f0cec5e0972392ff2d393552746476c33fe40f27b947c43f65ce1fb9
2007,h19,https://www.env.go.jp/recycle/waste_tech/ippan/h19/data/seibi/facility/01.xls,configured_downloader_pattern_not_network_revalidated,fy2007_incineration.xls,data/raw/facility_annual/fy2007_incineration.xls,present,True,b3f3e72d4c42c012c19738accb2915ff884e34e3e633f750329d0eb8ae4ff219,1213952,unavailable,not_recorded_by_downloader,unavailable_not_persisted,2026-04-13T11:29:30+07:00,git_last_commit_not_original_retrieval_time,xls,xlrd,1,"[""焼却""]",0,焼却,True,1313,74,6,7,1307,17,2,power_sold_mwh;sell_revenue_yen,38c1ba5726da0813b4d217162b020bb18fdd4e58bf857deb3e0a2f1d6fdbeb2d
2008,h20,https://www.env.go.jp/recycle/waste_tech/ippan/h20/data/seibi/facility/01.xls,configured_downloader_pattern_not_network_revalidated,fy2008_incineration.xls,data/raw/facility_annual/fy2008_incineration.xls,present,True,b8b04c53fd0684a36004cbd3c8efd69c9115d8f878724f43783a91cf500c9b66,914432,unavailable,not_recorded_by_downloader,unavailable_not_persisted,2026-04-13T11:29:30+07:00,git_last_commit_not_original_retrieval_time,xls,xlrd,1,"[""焼却施設""]",0,焼却施設,True,1313,78,6,7,1307,17,2,power_sold_mwh;sell_revenue_yen,945ff10a1acb276b6a58c5439c737fa0054861b73e2897accfe7d99fd2036682
2009,h21,https://www.env.go.jp/recycle/waste_tech/ippan/h21/data/seibi/facility/01.xls,configured_downloader_pattern_not_network_revalidated,fy2009_incineration.xls,data/raw/facility_annual/fy2009_incineration.xls,present,True,2b76252fcf5b3a294ded428bcbb1964e27d97aee3f95917bbd2c2d768c62f64a,1134592,unavailable,not_recorded_by_downloader,unavailable_not_persisted,2026-04-13T11:29:30+07:00,git_last_commit_not_original_retrieval_time,xls,xlrd,1,"[""焼却施設""]",0,焼却施設,True,1316,80,6,7,1310,17,2,power_sold_mwh;sell_revenue_yen,319fa3dec5b87f267838cde8db7424abc4ecbf3775dda97080f5a7906bbd38e3
2010,h22,https://www.env.go.jp/recycle/waste_tech/ippan/h22/data/seibi/facility/01.xls,configured_downloader_pattern_not_network_revalidated,fy2010_incineration.xls,data/raw/facility_annual/fy2010_incineration.xls,present,True,28344f9ecc7bee75938fe552940ff898313ad1aa5c39b7a3b2f3a77d63f4a365,1057280,unavailable,not_recorded_by_downloader,unavailable_not_persisted,2026-04-13T11:29:30+07:00,git_last_commit_not_original_retrieval_time,xls,xlrd,1,"[""焼却""]",0,焼却,True,1251,80,6,7,1245,17,2,power_sold_mwh;sell_revenue_yen,319fa3dec5b87f267838cde8db7424abc4ecbf3775dda97080f5a7906bbd38e3
2011,h23,https://www.env.go.jp/recycle/waste_tech/ippan/h23/data/seibi/facility/01.xls,configured_downloader_pattern_not_network_revalidated,fy2011_incineration.xls,data/raw/facility_annual/fy2011_incineration.xls,present,True,e1d4c67df44134ac5eac945bf54e7f007e1f871407895d1a199b8a2d9de7289b,1065984,unavailable,not_recorded_by_downloader,unavailable_not_persisted,2026-04-13T11:29:30+07:00,git_last_commit_not_original_retrieval_time,xls,xlrd,1,"[""焼却""]",0,焼却,True,1257,80,6,7,1251,17,2,power_sold_mwh;sell_revenue_yen,319fa3dec5b87f267838cde8db7424abc4ecbf3775dda97080f5a7906bbd38e3
2012,h24,https://www.env.go.jp/recycle/waste_tech/ippan/h24/data/seibi/facility/01.xls,configured_downloader_pattern_not_network_revalidated,fy2012_incineration.xls,data/raw/facility_annual/fy2012_incineration.xls,present,True,0d699fc19868a305a836ad2e12015ecf8a208fe052113d05e499a47bf960f3c0,1037312,unavailable,not_recorded_by_downloader,unavailable_not_persisted,2026-04-13T11:29:30+07:00,git_last_commit_not_original_retrieval_time,xls,xlrd,1,"[""焼却""]",0,焼却,True,1228,80,6,7,1222,17,2,power_sold_mwh;sell_revenue_yen,319fa3dec5b87f267838cde8db7424abc4ecbf3775dda97080f5a7906bbd38e3
2013,h25,https://www.env.go.jp/recycle/waste_tech/ippan/h25/data/seibi/facility/01.xls,configured_downloader_pattern_not_network_revalidated,fy2013_incineration.xls,data/raw/facility_annual/fy2013_incineration.xls,present,True,34b5115c18e52e01f4fab7acbfd111ceb24f1132abdc6e5181218bdcfc6b1144,1047040,unavailable,not_recorded_by_downloader,unavailable_not_persisted,2026-04-13T11:29:30+07:00,git_last_commit_not_original_retrieval_time,xls,xlrd,1,"[""焼却""]",0,焼却,True,1205,79,6,7,1199,17,2,power_sold_mwh;sell_revenue_yen,da633299b70b51c14bb594c815f7798f25096ed09224e6e432438eb43c8844a4
2014,h26,https://www.env.go.jp/recycle/waste_tech/ippan/h26/data/seibi/facility/01.xlsx,configured_downloader_pattern_not_network_revalidated,fy2014_incineration.xlsx,data/raw/facility_annual/fy2014_incineration.xlsx,present,True,d5bed22b80ff3cfbb4944c4d1406ef71e1994132b9c5dc104e392012f81fc3b6,535530,unavailable,not_recorded_by_downloader,unavailable_not_persisted,2026-04-13T11:29:30+07:00,git_last_commit_not_original_retrieval_time,xlsx,openpyxl,1,"[""焼却""]",0,焼却,True,1213,78,6,7,1207,17,2,power_sold_mwh;sell_revenue_yen,da633299b70b51c14bb594c815f7798f25096ed09224e6e432438eb43c8844a4
