outcome,term,coefficient,standard_error,ci_low,ci_high,p_value,observations,lineages,r_squared
log_installed_capacity_kw,cohort_Before 1990,-1.564687472,0.08435784588,-1.730025812,-1.399349133,8.430527698e-77,6511,493,0.786232334
log_installed_capacity_kw,cohort_1990-1999,-0.8826938627,0.06346494164,-1.007082863,-0.7583048628,5.634935208e-44,6511,493,0.786232334
log_installed_capacity_kw,cohort_2000-2009,-0.2673795562,0.04299319263,-0.3516446654,-0.1831144471,4.999707061e-10,6511,493,0.786232334
log_installed_capacity_kw,log_capacity_t_day,1.532017282,0.04351057157,1.446738129,1.617296435,1.394364487e-271,6511,493,0.786232334
log_electrical_capacity_factor,cohort_Before 1990,0.3020317308,0.04190294038,0.2199034768,0.3841599848,5.682604338e-13,6511,493,0.3390337234
log_electrical_capacity_factor,cohort_1990-1999,0.1984814984,0.03245809429,0.1348648026,0.2620981942,9.655226539e-10,6511,493,0.3390337234
log_electrical_capacity_factor,cohort_2000-2009,0.01490755958,0.02889714494,-0.04172980377,0.07154492292,0.6059357957,6511,493,0.3390337234
log_electrical_capacity_factor,log_capacity_t_day,-0.1160187553,0.02361211719,-0.1622976546,-0.06973985598,8.945279534e-07,6511,493,0.3390337234
log_electrical_capacity_factor,capacity_utilization_raw,1.695143811,0.1258752324,1.448432889,1.941854733,2.450766968e-41,6511,493,0.3390337234
log_gross_generation_mwh,log_throughput_t_year,0.6377647236,0.05209948615,0.5356516071,0.7398778401,1.870446809e-34,6511,493,0.9138868427
log_gross_generation_mwh,log_power_capacity_kw,0.5757761493,0.03788872705,0.5015156089,0.6500366898,3.730096338e-52,6511,493,0.9138868427
