fiscal_year,standardized_field,mapping_status,header_row_zero_based,header_row_excel,column_index_zero_based,column_excel,matched_keyword,matched_header_text,parser_selected_column_index_zero_based,parser_selected_column_excel,parser_selected_header_text,parser_column_adjustment
2005,prefecture,detected_by_parser_keyword_search,0,1,0,A,都道府県コード,都道府県コード,1,B,都道府県名,prefecture_code_to_adjacent_name_column
2005,muni_code,detected_by_parser_keyword_search,0,1,2,C,地方公共団体コード,地方公共団体コード,2,C,地方公共団体コード,none
2005,facility_code,detected_by_parser_keyword_search,0,1,3,D,施設コード,施設コード,3,D,施設コード,none
2005,facility_name,detected_by_parser_keyword_search,0,1,7,H,施設名称,施設名称,7,H,施設名称,none
2005,throughput_t_year,detected_by_parser_keyword_search,0,1,8,I,年間処理量,"年間処理量
(t/年度)",8,I,"年間処理量
(t/年度)",none
2005,capacity_t_day,detected_by_parser_keyword_search,0,1,16,Q,処理能力,処理能力(t/日),16,Q,処理能力(t/日),none
2005,n_furnaces,detected_by_parser_keyword_search,0,1,17,R,炉数,炉数,17,R,炉数,none
2005,year_started,detected_by_parser_keyword_search,0,1,18,S,使用開始年度,使用開始年度,18,S,使用開始年度,none
2005,heat_util_status,detected_by_parser_keyword_search,0,1,19,T,余熱利用の状況,余熱利用の状況,19,T,余熱利用の状況,none
2005,power_capacity_kw,detected_by_parser_keyword_search,0,1,21,V,発電能力,発電能力(kW),21,V,発電能力(kW),none
2005,power_efficiency_pct,detected_by_parser_keyword_search,0,1,22,W,発電効率,発電効率(%),22,W,発電効率(%),none
2005,power_generated_mwh,detected_by_parser_keyword_search,0,1,23,X,総発電量,"総発電量
(MWh)",23,X,"総発電量
(MWh)",none
2005,power_sold_mwh,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2005,heating_value_kj_kg,detected_by_parser_keyword_search,0,1,41,AP,低発熱量,"低発熱量(計算値)
kcal/kg",41,AP,"低発熱量(計算値)
kcal/kg",none
2005,furnace_type,detected_by_parser_keyword_search,0,1,14,O,処理方式,処理方式,14,O,処理方式,none
2005,operation_mode,detected_by_parser_keyword_search,0,1,15,P,炉型式,炉型式,15,P,炉型式,none
2005,waste_type,detected_by_parser_keyword_search,0,1,12,M,焼却対象廃棄物,焼却対象廃棄物,12,M,焼却対象廃棄物,none
2005,facility_type,detected_by_parser_keyword_search,0,1,13,N,施設の種類,施設の種類,13,N,施設の種類,none
2005,sell_revenue_yen,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2006,prefecture,detected_by_parser_keyword_search,0,1,0,A,都道府県コード,都道府県コード,1,B,都道府県名,prefecture_code_to_adjacent_name_column
2006,muni_code,detected_by_parser_keyword_search,0,1,2,C,地方公共団体コード,地方公共団体コード,2,C,地方公共団体コード,none
2006,facility_code,detected_by_parser_keyword_search,0,1,3,D,施設コード,施設コード,3,D,施設コード,none
2006,facility_name,detected_by_parser_keyword_search,0,1,7,H,施設名称,施設名称,7,H,施設名称,none
2006,throughput_t_year,detected_by_parser_keyword_search,0,1,8,I,年間処理量,"年間処理量
(t/年度)",8,I,"年間処理量
(t/年度)",none
2006,capacity_t_day,detected_by_parser_keyword_search,0,1,16,Q,処理能力,処理能力(t/日),16,Q,処理能力(t/日),none
2006,n_furnaces,detected_by_parser_keyword_search,0,1,17,R,炉数,炉数,17,R,炉数,none
2006,year_started,detected_by_parser_keyword_search,0,1,18,S,使用開始年度,使用開始年度,18,S,使用開始年度,none
2006,heat_util_status,detected_by_parser_keyword_search,0,1,19,T,余熱利用の状況,余熱利用の状況,19,T,余熱利用の状況,none
2006,power_capacity_kw,detected_by_parser_keyword_search,0,1,21,V,発電能力,発電能力(kW),21,V,発電能力(kW),none
2006,power_efficiency_pct,detected_by_parser_keyword_search,0,1,22,W,発電効率,発電効率(%),22,W,発電効率(%),none
2006,power_generated_mwh,detected_by_parser_keyword_search,0,1,23,X,総発電量,"総発電量
(MWh)",23,X,"総発電量
(MWh)",none
2006,power_sold_mwh,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2006,heating_value_kj_kg,detected_by_parser_keyword_search,0,1,41,AP,低発熱量,"低発熱量(計算値)
kcal/kg",41,AP,"低発熱量(計算値)
kcal/kg",none
2006,furnace_type,detected_by_parser_keyword_search,0,1,14,O,処理方式,処理方式,14,O,処理方式,none
2006,operation_mode,detected_by_parser_keyword_search,0,1,15,P,炉型式,炉型式,15,P,炉型式,none
2006,waste_type,detected_by_parser_keyword_search,0,1,12,M,焼却対象廃棄物,焼却対象廃棄物,12,M,焼却対象廃棄物,none
2006,facility_type,detected_by_parser_keyword_search,0,1,13,N,施設の種類,施設の種類,13,N,施設の種類,none
2006,sell_revenue_yen,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2007,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2007,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2007,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2007,facility_name,detected_by_parser_keyword_search,1,2,6,G,施設名称,施設名称,6,G,施設名称,none
2007,throughput_t_year,detected_by_parser_keyword_search,1,2,7,H,年間処理量,年間処理量,7,H,年間処理量,none
2007,capacity_t_day,detected_by_parser_keyword_search,1,2,16,Q,処理能力,処理能力,16,Q,処理能力,none
2007,n_furnaces,detected_by_parser_keyword_search,1,2,17,R,炉数,炉数,17,R,炉数,none
2007,year_started,detected_by_parser_keyword_search,1,2,18,S,使用開始年度,使用開始年度,18,S,使用開始年度,none
2007,heat_util_status,detected_by_parser_keyword_search,1,2,19,T,余熱利用の状況,余熱利用の状況,19,T,余熱利用の状況,none
2007,power_capacity_kw,detected_by_parser_keyword_search,1,2,24,Y,発電能力,発電能力,24,Y,発電能力,none
2007,power_efficiency_pct,detected_by_parser_keyword_search,1,2,25,Z,発電効率,発電効率,25,Z,発電効率,none
2007,power_generated_mwh,detected_by_parser_keyword_search,1,2,26,AA,総発電量,総発電量,26,AA,総発電量,none
2007,power_sold_mwh,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2007,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,45,AT,低位発熱量,低位発熱量,45,AT,低位発熱量,none
2007,furnace_type,detected_by_parser_keyword_search,1,2,14,O,処理方式,処理方式,14,O,処理方式,none
2007,operation_mode,detected_by_parser_keyword_search,1,2,15,P,炉型式,炉型式,15,P,炉型式,none
2007,waste_type,detected_by_parser_keyword_search,1,2,12,M,焼却対象廃棄物,焼却対象廃棄物,12,M,焼却対象廃棄物,none
2007,facility_type,detected_by_parser_keyword_search,1,2,13,N,施設の種類,施設の種類,13,N,施設の種類,none
2007,sell_revenue_yen,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2008,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2008,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2008,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2008,facility_name,detected_by_parser_keyword_search,1,2,6,G,施設名称,施設名称,6,G,施設名称,none
2008,throughput_t_year,detected_by_parser_keyword_search,1,2,7,H,年間処理量,年間処理量,7,H,年間処理量,none
2008,capacity_t_day,detected_by_parser_keyword_search,1,2,15,P,処理能力,処理能力,15,P,処理能力,none
2008,n_furnaces,detected_by_parser_keyword_search,1,2,16,Q,炉数,炉数,16,Q,炉数,none
2008,year_started,detected_by_parser_keyword_search,1,2,17,R,使用開始年度,使用開始年度,17,R,使用開始年度,none
2008,heat_util_status,detected_by_parser_keyword_search,1,2,18,S,余熱利用の状況,余熱利用の状況,18,S,余熱利用の状況,none
2008,power_capacity_kw,detected_by_parser_keyword_search,1,2,23,X,発電能力,発電能力,23,X,発電能力,none
2008,power_efficiency_pct,detected_by_parser_keyword_search,1,2,24,Y,発電効率,発電効率,24,Y,発電効率,none
2008,power_generated_mwh,detected_by_parser_keyword_search,1,2,25,Z,総発電量,総発電量,25,Z,総発電量,none
2008,power_sold_mwh,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2008,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,44,AS,低位発熱量,低位発熱量,44,AS,低位発熱量,none
2008,furnace_type,detected_by_parser_keyword_search,1,2,13,N,処理方式,処理方式,13,N,処理方式,none
2008,operation_mode,detected_by_parser_keyword_search,1,2,14,O,炉型式,炉型式,14,O,炉型式,none
2008,waste_type,detected_by_parser_keyword_search,1,2,11,L,焼却対象廃棄物,焼却対象廃棄物,11,L,焼却対象廃棄物,none
2008,facility_type,detected_by_parser_keyword_search,1,2,12,M,施設の種類,施設の種類,12,M,施設の種類,none
2008,sell_revenue_yen,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2009,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2009,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2009,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2009,facility_name,detected_by_parser_keyword_search,1,2,5,F,施設名称,施設名称,5,F,施設名称,none
2009,throughput_t_year,detected_by_parser_keyword_search,1,2,6,G,年間処理量,年間処理量,6,G,年間処理量,none
2009,capacity_t_day,detected_by_parser_keyword_search,1,2,16,Q,処理能力,処理能力,16,Q,処理能力,none
2009,n_furnaces,detected_by_parser_keyword_search,1,2,17,R,炉数,炉数,17,R,炉数,none
2009,year_started,detected_by_parser_keyword_search,1,2,18,S,使用開始年度,使用開始年度,18,S,使用開始年度,none
2009,heat_util_status,detected_by_parser_keyword_search,1,2,19,T,余熱利用の状況,余熱利用の状況,19,T,余熱利用の状況,none
2009,power_capacity_kw,detected_by_parser_keyword_search,1,2,24,Y,発電能力,発電能力,24,Y,発電能力,none
2009,power_efficiency_pct,detected_by_parser_keyword_search,3,4,25,Z,発電効率,発電効率(実績値),25,Z,発電効率(実績値),none
2009,power_generated_mwh,detected_by_parser_keyword_search,3,4,26,AA,総発電量,総発電量(実績値),26,AA,総発電量(実績値),none
2009,power_sold_mwh,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2009,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,46,AU,低位発熱量,低位発熱量,46,AU,低位発熱量,none
2009,furnace_type,detected_by_parser_keyword_search,1,2,14,O,処理方式,処理方式,14,O,処理方式,none
2009,operation_mode,detected_by_parser_keyword_search,1,2,15,P,炉型式,炉型式,15,P,炉型式,none
2009,waste_type,detected_by_parser_keyword_search,1,2,10,K,焼却対象廃棄物,焼却対象廃棄物,10,K,焼却対象廃棄物,none
2009,facility_type,detected_by_parser_keyword_search,1,2,12,M,施設の種類,施設の種類,12,M,施設の種類,none
2009,sell_revenue_yen,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2010,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2010,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2010,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2010,facility_name,detected_by_parser_keyword_search,1,2,5,F,施設名称,施設名称,5,F,施設名称,none
2010,throughput_t_year,detected_by_parser_keyword_search,1,2,6,G,年間処理量,年間処理量,6,G,年間処理量,none
2010,capacity_t_day,detected_by_parser_keyword_search,1,2,16,Q,処理能力,処理能力,16,Q,処理能力,none
2010,n_furnaces,detected_by_parser_keyword_search,1,2,17,R,炉数,炉数,17,R,炉数,none
2010,year_started,detected_by_parser_keyword_search,1,2,18,S,使用開始年度,使用開始年度,18,S,使用開始年度,none
2010,heat_util_status,detected_by_parser_keyword_search,1,2,19,T,余熱利用の状況,余熱利用の状況,19,T,余熱利用の状況,none
2010,power_capacity_kw,detected_by_parser_keyword_search,1,2,24,Y,発電能力,発電能力,24,Y,発電能力,none
2010,power_efficiency_pct,detected_by_parser_keyword_search,3,4,25,Z,発電効率,発電効率(実績値),25,Z,発電効率(実績値),none
2010,power_generated_mwh,detected_by_parser_keyword_search,3,4,26,AA,総発電量,総発電量(実績値),26,AA,総発電量(実績値),none
2010,power_sold_mwh,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2010,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,46,AU,低位発熱量,低位発熱量,46,AU,低位発熱量,none
2010,furnace_type,detected_by_parser_keyword_search,1,2,14,O,処理方式,処理方式,14,O,処理方式,none
2010,operation_mode,detected_by_parser_keyword_search,1,2,15,P,炉型式,炉型式,15,P,炉型式,none
2010,waste_type,detected_by_parser_keyword_search,1,2,10,K,焼却対象廃棄物,焼却対象廃棄物,10,K,焼却対象廃棄物,none
2010,facility_type,detected_by_parser_keyword_search,1,2,12,M,施設の種類,施設の種類,12,M,施設の種類,none
2010,sell_revenue_yen,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2011,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2011,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2011,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2011,facility_name,detected_by_parser_keyword_search,1,2,5,F,施設名称,施設名称,5,F,施設名称,none
2011,throughput_t_year,detected_by_parser_keyword_search,1,2,6,G,年間処理量,年間処理量,6,G,年間処理量,none
2011,capacity_t_day,detected_by_parser_keyword_search,1,2,16,Q,処理能力,処理能力,16,Q,処理能力,none
2011,n_furnaces,detected_by_parser_keyword_search,1,2,17,R,炉数,炉数,17,R,炉数,none
2011,year_started,detected_by_parser_keyword_search,1,2,18,S,使用開始年度,使用開始年度,18,S,使用開始年度,none
2011,heat_util_status,detected_by_parser_keyword_search,1,2,19,T,余熱利用の状況,余熱利用の状況,19,T,余熱利用の状況,none
2011,power_capacity_kw,detected_by_parser_keyword_search,1,2,24,Y,発電能力,発電能力,24,Y,発電能力,none
2011,power_efficiency_pct,detected_by_parser_keyword_search,3,4,25,Z,発電効率,発電効率(実績値),25,Z,発電効率(実績値),none
2011,power_generated_mwh,detected_by_parser_keyword_search,3,4,26,AA,総発電量,総発電量(実績値),26,AA,総発電量(実績値),none
2011,power_sold_mwh,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2011,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,46,AU,低位発熱量,低位発熱量,46,AU,低位発熱量,none
2011,furnace_type,detected_by_parser_keyword_search,1,2,14,O,処理方式,処理方式,14,O,処理方式,none
2011,operation_mode,detected_by_parser_keyword_search,1,2,15,P,炉型式,炉型式,15,P,炉型式,none
2011,waste_type,detected_by_parser_keyword_search,1,2,10,K,焼却対象廃棄物,焼却対象廃棄物,10,K,焼却対象廃棄物,none
2011,facility_type,detected_by_parser_keyword_search,1,2,12,M,施設の種類,施設の種類,12,M,施設の種類,none
2011,sell_revenue_yen,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2012,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2012,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2012,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2012,facility_name,detected_by_parser_keyword_search,1,2,5,F,施設名称,施設名称,5,F,施設名称,none
2012,throughput_t_year,detected_by_parser_keyword_search,1,2,6,G,年間処理量,年間処理量,6,G,年間処理量,none
2012,capacity_t_day,detected_by_parser_keyword_search,1,2,16,Q,処理能力,処理能力,16,Q,処理能力,none
2012,n_furnaces,detected_by_parser_keyword_search,1,2,17,R,炉数,炉数,17,R,炉数,none
2012,year_started,detected_by_parser_keyword_search,1,2,18,S,使用開始年度,使用開始年度,18,S,使用開始年度,none
2012,heat_util_status,detected_by_parser_keyword_search,1,2,19,T,余熱利用の状況,余熱利用の状況,19,T,余熱利用の状況,none
2012,power_capacity_kw,detected_by_parser_keyword_search,1,2,24,Y,発電能力,発電能力,24,Y,発電能力,none
2012,power_efficiency_pct,detected_by_parser_keyword_search,3,4,25,Z,発電効率,発電効率(実績値),25,Z,発電効率(実績値),none
2012,power_generated_mwh,detected_by_parser_keyword_search,3,4,26,AA,総発電量,総発電量(実績値),26,AA,総発電量(実績値),none
2012,power_sold_mwh,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2012,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,46,AU,低位発熱量,低位発熱量,46,AU,低位発熱量,none
2012,furnace_type,detected_by_parser_keyword_search,1,2,14,O,処理方式,処理方式,14,O,処理方式,none
2012,operation_mode,detected_by_parser_keyword_search,1,2,15,P,炉型式,炉型式,15,P,炉型式,none
2012,waste_type,detected_by_parser_keyword_search,1,2,10,K,焼却対象廃棄物,焼却対象廃棄物,10,K,焼却対象廃棄物,none
2012,facility_type,detected_by_parser_keyword_search,1,2,12,M,施設の種類,施設の種類,12,M,施設の種類,none
2012,sell_revenue_yen,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2013,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2013,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2013,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2013,facility_name,detected_by_parser_keyword_search,1,2,4,E,施設名称,施設名称,4,E,施設名称,none
2013,throughput_t_year,detected_by_parser_keyword_search,1,2,5,F,年間処理量,年間処理量,5,F,年間処理量,none
2013,capacity_t_day,detected_by_parser_keyword_search,1,2,15,P,処理能力,処理能力,15,P,処理能力,none
2013,n_furnaces,detected_by_parser_keyword_search,1,2,16,Q,炉数,炉数,16,Q,炉数,none
2013,year_started,detected_by_parser_keyword_search,1,2,17,R,使用開始年度,使用開始年度,17,R,使用開始年度,none
2013,heat_util_status,detected_by_parser_keyword_search,1,2,18,S,余熱利用の状況,余熱利用の状況,18,S,余熱利用の状況,none
2013,power_capacity_kw,detected_by_parser_keyword_search,1,2,23,X,発電能力,発電能力,23,X,発電能力,none
2013,power_efficiency_pct,detected_by_parser_keyword_search,3,4,24,Y,発電効率,発電効率(実績値),24,Y,発電効率(実績値),none
2013,power_generated_mwh,detected_by_parser_keyword_search,3,4,25,Z,総発電量,総発電量(実績値),25,Z,総発電量(実績値),none
2013,power_sold_mwh,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2013,heating_value_kj_kg,detected_by_parser_keyword_search,1,2,45,AT,低位発熱量,低位発熱量,45,AT,低位発熱量,none
2013,furnace_type,detected_by_parser_keyword_search,1,2,13,N,処理方式,処理方式,13,N,処理方式,none
2013,operation_mode,detected_by_parser_keyword_search,1,2,14,O,炉型式,炉型式,14,O,炉型式,none
2013,waste_type,detected_by_parser_keyword_search,1,2,9,J,焼却対象廃棄物,焼却対象廃棄物,9,J,焼却対象廃棄物,none
2013,facility_type,detected_by_parser_keyword_search,1,2,11,L,施設の種類,施設の種類,11,L,施設の種類,none
2013,sell_revenue_yen,unavailable_not_detected,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
2014,prefecture,detected_by_parser_keyword_search,1,2,0,A,都道府県名,都道府県名,0,A,都道府県名,none
2014,muni_code,detected_by_parser_keyword_search,1,2,1,B,地方公共団体コード,地方公共団体コード,1,B,地方公共団体コード,none
2014,facility_code,detected_by_parser_keyword_search,1,2,2,C,施設コード,施設コード,2,C,施設コード,none
2014,facility_name,detected_by_parser_keyword_search,1,2,4,E,施設名称,施設名称,4,E,施設名称,none
