deletion,omitted_lineage,event_year,capacity_coefficient,odds_ratio_300_vs_100,age_per_10y_coefficient,converged
event_reclassified,site_023193e1d0b7,2006,2.768636809,6.814636997,-0.4072844778,True
event_lineage_removed,site_023193e1d0b7,2006,2.76854622,6.814209107,-0.4069163661,True
event_reclassified,site_110377f88627,2023,2.797606701,6.952860773,-0.3766015438,True
event_lineage_removed,site_110377f88627,2023,2.796059147,6.94540656,-0.3753213324,True
event_reclassified,site_1288f06eacb8,2015,2.708626755,6.536991201,-0.296655207,True
event_lineage_removed,site_1288f06eacb8,2015,2.710252878,6.544363473,-0.298026055,True
event_reclassified,site_28999b476293,2015,2.788710287,6.910117715,-0.3208269749,True
event_lineage_removed,site_28999b476293,2015,2.788012533,6.906776471,-0.320922974,True
event_reclassified,site_2ff0464f124e,2016,2.714687982,6.56451298,-0.2891976218,True
event_lineage_removed,site_2ff0464f124e,2016,2.71597071,6.570352213,-0.2908583185,True
event_reclassified,site_46a5344f27b5,2010,2.714613102,6.564172274,-0.3274459974,True
event_lineage_removed,site_46a5344f27b5,2010,2.715379351,6.567659585,-0.3272134499,True
event_reclassified,site_49507e5c7b4e,2024,2.803813064,6.982835877,-0.3446547078,True
event_lineage_removed,site_49507e5c7b4e,2024,2.802262701,6.975335943,-0.3449128222,True
event_reclassified,site_4a00a5bd7e56,2021,2.74563622,6.706854107,-0.3452410515,True
event_lineage_removed,site_4a00a5bd7e56,2021,2.746205462,6.709500943,-0.3449165649,True
event_reclassified,site_4bb62fd0b603,2022,2.749911382,6.726758116,-0.346004729,True
event_lineage_removed,site_4bb62fd0b603,2022,2.750283546,6.728493602,-0.3457978219,True
event_reclassified,site_4d342980f1a6,2006,2.717301376,6.576415153,-0.2802612564,True
event_lineage_removed,site_4d342980f1a6,2006,2.717404814,6.576886685,-0.280418495,True
event_reclassified,site_4f527b1e3732,2009,2.797224819,6.951020594,-0.3799773841,True
event_lineage_removed,site_4f527b1e3732,2009,2.796698161,6.948483575,-0.3794046123,True
event_reclassified,site_501ca8aa361f,2015,2.66227925,6.330323598,-0.3526943489,True
event_lineage_removed,site_501ca8aa361f,2015,2.675050876,6.386612306,-0.3487272958,True
event_reclassified,site_565be3564272,2022,2.73776549,6.670363994,-0.2830388798,True
event_lineage_removed,site_565be3564272,2022,2.738433981,6.673455511,-0.2855872797,True
event_reclassified,site_586fe6462fc8,2022,2.796353958,6.946825979,-0.3617673903,True
event_lineage_removed,site_586fe6462fc8,2022,2.794628595,6.938523027,-0.3610011052,True
event_reclassified,site_616104f10a78,2016,2.674653468,6.384853279,-0.2865045304,True
event_lineage_removed,site_616104f10a78,2016,2.680115165,6.409070613,-0.289763467,True
event_reclassified,site_6958d603c8ad,2006,2.612635559,6.116199895,-0.337381088,True
event_lineage_removed,site_6958d603c8ad,2006,2.616396047,6.132163004,-0.3370529217,True
event_reclassified,site_6a05a758c979,2015,2.739966433,6.680547916,-0.3345505413,True
event_lineage_removed,site_6a05a758c979,2015,2.74017098,6.681495163,-0.334239307,True
event_reclassified,site_751344d7173b,2016,2.795250232,6.941513383,-0.3209886367,True
event_lineage_removed,site_751344d7173b,2016,2.794474921,6.937783984,-0.3211150865,True
event_reclassified,site_96bbb0cc10e6,2021,2.839544618,7.15794083,-0.3808328351,True
event_lineage_removed,site_96bbb0cc10e6,2021,2.837652908,7.148561247,-0.3799574287,True
event_reclassified,site_aba00557c392,2022,2.71767747,6.578129773,-0.3114346831,True
event_lineage_removed,site_aba00557c392,2022,2.720939743,6.593021304,-0.314246752,True
event_reclassified,site_b2a293b3f8a7,2017,2.703056293,6.51179956,-0.3487115486,True
event_lineage_removed,site_b2a293b3f8a7,2017,2.707622791,6.532443723,-0.3469413582,True
event_reclassified,site_b46782955f68,2006,2.840212019,7.161252909,-0.3043571138,True
event_lineage_removed,site_b46782955f68,2006,2.840160635,7.160997856,-0.304368741,True
event_reclassified,site_b4a84489dafa,2016,2.695359141,6.477149939,-0.2917407652,True
event_lineage_removed,site_b4a84489dafa,2016,2.698320008,6.490456749,-0.2939338202,True
event_reclassified,site_bd04b46dc65a,2019,2.681251525,6.414120802,-0.3094519939,True
event_lineage_removed,site_bd04b46dc65a,2019,2.689360734,6.450275289,-0.3119084858,True
event_reclassified,site_cc9555b7aab4,2014,2.713324388,6.558311322,-0.2848207881,True
event_lineage_removed,site_cc9555b7aab4,2014,2.714151395,6.562071871,-0.2860362924,True
event_reclassified,site_ce18fa6b9e97,2021,2.722059773,6.598141754,-0.2867881935,True
event_lineage_removed,site_ce18fa6b9e97,2021,2.723769185,6.605964353,-0.2897989343,True
event_reclassified,site_d23b768d16db,2019,2.70303871,6.5117202,-0.3279682163,True
event_lineage_removed,site_d23b768d16db,2019,2.71052562,6.545600805,-0.3310279943,True
event_reclassified,site_d3bda35fe022,2024,2.745314608,6.705359154,-0.3219639426,True
event_lineage_removed,site_d3bda35fe022,2024,2.746243321,6.709677015,-0.3239032599,True
event_reclassified,site_e0278c6bb85e,2016,2.780998047,6.873276736,-0.2987305707,True
event_lineage_removed,site_e0278c6bb85e,2016,2.780462243,6.870724536,-0.2991472233,True
event_reclassified,site_e22135c6e858,2010,2.867466657,7.297825511,-0.3477842749,True
event_lineage_removed,site_e22135c6e858,2010,2.867129966,7.29612257,-0.3477076199,True
event_reclassified,site_e25e6a6fd862,2008,2.707496549,6.53187213,-0.2818773891,True
event_lineage_removed,site_e25e6a6fd862,2008,2.707694194,6.532767043,-0.2820972883,True
event_reclassified,site_ebcd098807af,2009,2.787318993,6.903457003,-0.2689070328,True
