model,term,coefficient,standard_error_model_based,p_value_model_based,bootstrap_ci_low,bootstrap_ci_high,observations,lineages,events,bootstrap_repetitions
Broad reduced-DF frame,age_per_10y,-0.3274211574,0.2144229964,0.12676421,-0.7742537,0.0701206,15154,1137,35,1999
Broad reduced-DF frame,log_processing_capacity,2.749178522,0.4286385792,1.419876821e-10,2.10841895,3.6393903,15154,1137,35,1999
Broad reduced-DF frame,calendar_per_5y,0.696499261,0.2771292952,0.01196195619,-0.0115428,1.14859115,15154,1137,35,1999
Broad reduced-DF frame,log_elapsed_risk,-0.6375815154,0.5794533549,0.2711946755,-1.61028405,1.1164306,15154,1137,35,1999
Prior-operation reduced-DF frame,age_per_10y,-0.3227653672,0.2307251895,0.1618379035,-0.7927678,0.14712505,13072,1019,33,1999
Prior-operation reduced-DF frame,log_processing_capacity,2.825269401,0.4868236817,6.495417447e-09,2.0300478,3.78284725,13072,1019,33,1999
Prior-operation reduced-DF frame,calendar_per_5y,0.651953929,0.3177035534,0.04016163713,-0.09712425,1.0552386,13072,1019,33,1999
Prior-operation reduced-DF frame,log_elapsed_risk,-0.4973515975,0.6433531729,0.4394859583,-1.46947775,1.3470187,13072,1019,33,1999
Same-episode reduced-DF frame,age_per_10y,-0.7509874224,0.2710773944,0.005599090811,-1.36386055,-0.20587825,15095,1135,24,1999
Same-episode reduced-DF frame,log_processing_capacity,2.838146399,0.5376769742,1.302212285e-07,2.1500754,3.81261725,15095,1135,24,1999
Same-episode reduced-DF frame,calendar_per_5y,0.4625172502,0.3456213759,0.180824908,-0.54436285,0.9158389,15095,1135,24,1999
Same-episode reduced-DF frame,log_elapsed_risk,0.04670448231,0.7400000091,0.9496755951,-1.18953615,2.663358,15095,1135,24,1999
Identity-certain reduced-DF frame,age_per_10y,-0.3276234627,0.214350163,0.1264008996,-0.7906592,0.065245,15107,1130,35,1999
Identity-certain reduced-DF frame,log_processing_capacity,2.758054823,0.428849004,1.265206219e-10,2.0805195,3.62027,15107,1130,35,1999
Identity-certain reduced-DF frame,calendar_per_5y,0.6941663803,0.2772401685,0.0122851878,-0.0172012,1.1462012,15107,1130,35,1999
Identity-certain reduced-DF frame,log_elapsed_risk,-0.6392880543,0.5800156925,0.2703786602,-1.55173745,1.06738745,15107,1130,35,1999
