specification,evidence,outcome,term,coefficient,standard_error,ci_low,ci_high,p_value,observations,stable_sites,r_squared
Main predeclared bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_Before 1990,-1.564687472,0.08435784588,-1.730025812,-1.399349133,8.430527698e-77,6511,493,0.549257958
Main predeclared bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_1990-1999,-0.8826938627,0.06346494164,-1.007082863,-0.7583048628,5.634935208e-44,6511,493,0.549257958
Main predeclared bounds,between-and-within pooled component model,log_generator_design_intensity,cohort_2000-2009,-0.2673795562,0.04299319263,-0.3516446654,-0.1831144471,4.999707061e-10,6511,493,0.549257958
Main predeclared bounds,between-and-within pooled component model,log_generator_design_intensity,log_capacity_t_day,0.532017282,0.04351057157,0.4467381288,0.6172964352,2.221726634e-34,6511,493,0.549257958
Main predeclared bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_Before 1990,0.3020317308,0.04190294038,0.2199034768,0.3841599848,5.682604338e-13,6511,493,0.3390337234
Main predeclared bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_1990-1999,0.1984814984,0.03245809429,0.1348648026,0.2620981942,9.655226539e-10,6511,493,0.3390337234
Main predeclared bounds,between-and-within pooled component model,log_electrical_capacity_factor,cohort_2000-2009,0.01490755958,0.02889714494,-0.04172980377,0.07154492292,0.6059357957,6511,493,0.3390337234
Main predeclared bounds,between-and-within pooled component model,log_electrical_capacity_factor,log_capacity_t_day,-0.1160187553,0.02361211719,-0.1622976546,-0.06973985598,8.945279534e-07,6511,493,0.3390337234
Main predeclared bounds,between-and-within pooled component model,log_electrical_capacity_factor,capacity_utilization_raw,1.695143811,0.1258752324,1.448432889,1.941854733,2.450766968e-41,6511,493,0.3390337234
Main predeclared bounds,between-and-within pooled component model,log_gross_generation_mwh,log_throughput_t_year,0.6377647236,0.05209948615,0.5356516071,0.7398778401,1.870446809e-34,6511,493,0.9138868427
Main predeclared bounds,between-and-within pooled component model,log_gross_generation_mwh,log_power_capacity_kw,0.5757761493,0.03788872705,0.5015156089,0.6500366898,3.730096338e-52,6511,493,0.9138868427
First decade (FY2005-FY2014),between-and-within pooled component model,log_generator_design_intensity,cohort_Before 1990,-1.352866328,0.07974395288,-1.509161604,-1.196571052,1.487764075e-64,2882,356,0.5080800999
First decade (FY2005-FY2014),between-and-within pooled component model,log_generator_design_intensity,cohort_1990-1999,-0.6852209212,0.06882053083,-0.820106683,-0.5503351593,2.359121728e-23,2882,356,0.5080800999
First decade (FY2005-FY2014),between-and-within pooled component model,log_generator_design_intensity,cohort_2000-2009,-0.1128740517,0.04756228028,-0.2060944081,-0.01965369536,0.01763546694,2882,356,0.5080800999
First decade (FY2005-FY2014),between-and-within pooled component model,log_generator_design_intensity,log_capacity_t_day,0.4738630343,0.06382448115,0.3487693499,0.5989567187,1.132312139e-13,2882,356,0.5080800999
First decade (FY2005-FY2014),between-and-within pooled component model,log_electrical_capacity_factor,cohort_Before 1990,0.3002986296,0.06002054537,0.1826605224,0.4179367369,5.636768294e-07,2882,356,0.2966907353
First decade (FY2005-FY2014),between-and-within pooled component model,log_electrical_capacity_factor,cohort_1990-1999,0.223207425,0.05458150581,0.1162296394,0.3301852106,4.324284753e-05,2882,356,0.2966907353
First decade (FY2005-FY2014),between-and-within pooled component model,log_electrical_capacity_factor,cohort_2000-2009,0.03689608767,0.05059333647,-0.06226502968,0.136057205,0.4658379075,2882,356,0.2966907353
First decade (FY2005-FY2014),between-and-within pooled component model,log_electrical_capacity_factor,log_capacity_t_day,-0.09782885487,0.03548644747,-0.1673810139,-0.02827669589,0.00583709643,2882,356,0.2966907353
First decade (FY2005-FY2014),between-and-within pooled component model,log_electrical_capacity_factor,capacity_utilization_raw,1.54425492,0.1479594031,1.254259819,1.834250022,1.680058638e-25,2882,356,0.2966907353
First decade (FY2005-FY2014),between-and-within pooled component model,log_gross_generation_mwh,log_throughput_t_year,0.6664658668,0.04835748234,0.571686943,0.7612447905,3.267982019e-43,2882,356,0.9079798809
First decade (FY2005-FY2014),between-and-within pooled component model,log_gross_generation_mwh,log_power_capacity_kw,0.5486568158,0.03700258003,0.4761330916,0.62118054,9.72477638e-50,2882,356,0.9079798809
Second decade (FY2015-FY2024),between-and-within pooled component model,log_generator_design_intensity,cohort_Before 1990,-1.641673566,0.1269751428,-1.890540273,-1.39280686,3.084316263e-38,3629,444,0.5732586604
