analysis_facility_id,fiscal_year,lag_facility_age_years,lag_capacity_t_day,lag_throughput_t_year,same_asset_episode_as_lag,prefecture,facility_name,pathway_category,pathway_basis,calendar_era,capacity_group
site_023193e1d0b7,2006,33,300,40650,True,神奈川県,藤沢市北部環境事業所,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2005-2009,300+
site_4d342980f1a6,2006,3,140,32449,True,青森県,アックス・グリーン,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2005-2009,100-199
site_6958d603c8ad,2006,25,600,109306,False,大阪府,岸和田市貝市クリーンセンター,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2005-2009,300+
site_b46782955f68,2006,1,24,1508,True,鹿児島県,市来一般廃棄物利用エネルギーセンター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2005-2009,<100
site_e25e6a6fd862,2008,3,150,46560,True,大阪府,泉北クリーンセンター２号炉,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2005-2009,100-199
site_4f527b1e3732,2009,31,180,10485,False,福島県,あらかわクリーンセンター,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2005-2009,100-199
site_ebcd098807af,2009,2,40,9916,True,福島県,田村西部環境センター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2005-2009,<100
site_46a5344f27b5,2010,24,240,,False,宮崎県,延岡市清掃工場,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2010-2014,200-299
site_e22135c6e858,2010,19,40,7040,False,栃木県,日光市クリーンセンター,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2010-2014,<100
site_f03c5cb634c1,2012,20,134,25139,True,愛知県,豊川市清掃工場（１、３号炉）,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2010-2014,100-199
site_cc9555b7aab4,2014,16,150,28130,True,埼玉県,秩父広域市町村圏組合秩父クリーンセンター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2010-2014,100-199
site_1288f06eacb8,2015,20,177,24719,True,栃木県,環境クリーンセンター（ごみ処理施設）,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199
site_28999b476293,2015,21,90,12999,True,新潟県,エコクリーンセンター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,<100
site_501ca8aa361f,2015,38,450,65954,False,青森県,青森市清掃工場,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2015-2019,300+
site_6a05a758c979,2015,28,190,37366,True,大阪府,泉南清掃事務組合泉南清掃工場,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199
site_f91c01e2d37f,2015,35,150,16178,True,岐阜県,掛洞プラント,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199
site_2ff0464f124e,2016,18,150,34777,True,佐賀県,唐津市清掃センター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199
site_616104f10a78,2016,20,222,49593,True,福井県,清掃センター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,200-299
site_751344d7173b,2016,21,80,16839,True,埼玉県,坂戸市西清掃センター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,<100
site_b4a84489dafa,2016,20,190,37415,True,愛知県,衣浦衛生組合クリーンセンター衣浦,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199
site_e0278c6bb85e,2016,16,70,13263,True,熊本県,東部環境センター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,<100
site_b2a293b3f8a7,2017,35,300,31613.27,True,福島県,北部清掃センター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,300+
site_f7ab4d87540a,2017,36,180,32201.71,True,奈良県,大和郡山市クリーンセンター・清掃センター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199
site_bd04b46dc65a,2019,24,240,34830,True,岩手県,胆江地区衛生センター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,200-299
site_d23b768d16db,2019,30,240,32734,False,愛知県,東部知多クリーンセンター,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2015-2019,200-299
site_4a00a5bd7e56,2021,32,180,48608,False,滋賀県,大津市環境美化センター焼却施設,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2020-2024,100-199
site_96bbb0cc10e6,2021,35,90,17084,False,滋賀県,守山市環境センター熱回収施設,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2020-2024,<100
site_ce18fa6b9e97,2021,18,120,22606,True,栃木県,広域クリーンセンター大田原,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2020-2024,100-199
site_4bb62fd0b603,2022,32,170,35751,False,滋賀県,大津市北部クリーンセンター焼却施設,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2020-2024,100-199
site_565be3564272,2022,16,90,13785,True,秋田県,大館クリーンセンター,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2020-2024,<100
site_586fe6462fc8,2022,33,120,32043.13,False,宮城県,大崎広域中央クリーンセンター,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2020-2024,100-199
site_aba00557c392,2022,25,165,33514,True,埼玉県,狭山市稲荷山環境センター(旧名称：　狭山市第二環境センター),Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2020-2024,100-199
site_110377f88627,2023,24,120,0,False,静岡県,湖西市環境センター,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2020-2024,100-199
