analysis_facility_id,stable_site_id,asset_episode_id,lag_asset_episode_id,asset_episode_changed,facility_code,fiscal_year,prefecture,facility_name,lag_fiscal_year,lag_gap_years,exact_one_year_lag,year_started,lag_year_started,facility_age_years,lag_facility_age_years,capacity_t_day,lag_capacity_t_day,name_changed,year_started_forward,year_reset,age_reset,pathway_category,pathway_basis
site_023193e1d0b7,site_023193e1d0b7,site_023193e1d0b7-a01,site_023193e1d0b7-a01,False,1420501001,2006,神奈川県,藤沢市北部環境事業所,2005,1,True,1972,1972,34,33,300,300,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_090c6b82f03e,site_090c6b82f03e,site_090c6b82f03e-a01,site_090c6b82f03e-a01,False,4186101001,2015,佐賀県,さが西部クリーンセンター,2014,1,True,2015,2015,0,,205,205,True,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_110377f88627,site_110377f88627,site_110377f88627-a02,site_110377f88627-a01,True,2210039,2023,静岡県,湖西市環境センター,2022,1,True,2023,1998,0,24,102,120,False,False,True,True,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry"
site_1288f06eacb8,site_1288f06eacb8,site_1288f06eacb8-a01,site_1288f06eacb8-a01,False,0920501001,2015,栃木県,環境クリーンセンター（ごみ処理施設）,2014,1,True,1994,1994,21,20,88.5,177,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_28999b476293,site_28999b476293,site_28999b476293-a01,site_28999b476293-a01,False,1521001001,2015,新潟県,エコクリーンセンター,2014,1,True,1993,1993,22,21,135,90,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_2ff0464f124e,site_2ff0464f124e,site_2ff0464f124e-a01,site_2ff0464f124e-a01,False,4120201001,2016,佐賀県,唐津市清掃センター,2015,1,True,1997,1997,19,18,150,150,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_314c9144da8a,site_314c9144da8a,site_314c9144da8a-a01,site_314c9144da8a-a01,False,4010210,2021,福岡県,有明生活環境施設組合クリーンセンター,2020,1,True,2021,2021,0,,92,92,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_33783bb52e32,site_33783bb52e32,site_33783bb52e32-a01,site_33783bb52e32-a01,False,2895501001,2015,兵庫県,北但ごみ処理施設,2014,1,True,2016,2016,,,142,142,False,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
site_397d1384f59f,site_397d1384f59f,site_397d1384f59f-a01,site_397d1384f59f-a01,False,2010194,2020,長野県,佐久平クリーンセンター,2019,1,True,2020,2020,0,,110,110,False,False,False,False,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year
site_46a5344f27b5,site_46a5344f27b5,site_46a5344f27b5-a02,site_46a5344f27b5-a01,True,,2010,宮崎県,延岡市清掃工場,2009,1,True,2009,1985,1,24,218,240,False,False,True,True,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry"
