reported_start_year_cohort,fiscal_year,rows,lineages
Before 1990,2005,66,66
Before 1990,2006,67,67
Before 1990,2007,67,67
Before 1990,2008,61,61
Before 1990,2009,59,59
Before 1990,2010,55,55
Before 1990,2011,54,54
Before 1990,2012,49,49
Before 1990,2013,45,45
Before 1990,2014,43,43
Before 1990,2015,41,41
Before 1990,2016,36,36
Before 1990,2017,35,35
Before 1990,2018,35,35
Before 1990,2019,31,31
Before 1990,2020,28,28
Before 1990,2021,26,26
Before 1990,2022,25,25
Before 1990,2023,24,24
Before 1990,2024,22,22
1990-1999,2005,104,104
1990-1999,2006,105,105
1990-1999,2007,102,102
1990-1999,2008,104,104
1990-1999,2009,105,105
1990-1999,2010,102,102
1990-1999,2011,101,101
1990-1999,2012,103,103
1990-1999,2013,103,103
1990-1999,2014,103,103
1990-1999,2015,104,104
1990-1999,2016,106,106
1990-1999,2017,104,104
1990-1999,2018,105,105
1990-1999,2019,102,102
1990-1999,2020,103,103
1990-1999,2021,100,100
1990-1999,2022,99,99
1990-1999,2023,97,97
1990-1999,2024,99,99
2000-2009,2005,90,90
2000-2009,2006,103,103
2000-2009,2007,109,109
2000-2009,2008,118,118
2000-2009,2009,129,129
2000-2009,2010,126,126
2000-2009,2011,129,129
2000-2009,2012,127,127
2000-2009,2013,126,126
2000-2009,2014,125,125
2000-2009,2015,126,126
2000-2009,2016,128,128
2000-2009,2017,127,127
2000-2009,2018,126,126
2000-2009,2019,122,122
2000-2009,2020,127,127
2000-2009,2021,128,128
2000-2009,2022,126,126
2000-2009,2023,127,127
2000-2009,2024,124,124
2010 or later,2010,7,7
2010 or later,2011,11,11
2010 or later,2012,21,21
2010 or later,2013,27,27
2010 or later,2014,36,36
2010 or later,2015,49,49
2010 or later,2016,65,65
2010 or later,2017,78,78
2010 or later,2018,89,89
2010 or later,2019,97,97
2010 or later,2020,110,110
2010 or later,2021,123,123
2010 or later,2022,135,135
2010 or later,2023,144,144
2010 or later,2024,156,156
