fiscal_year,rows,coded_rows,unique_official_codes,duplicate_code_year_groups,rows_in_duplicate_code_year_groups,max_rows_per_official_code,stable_sites_in_duplicate_groups
2005,1318,1318,1315,3,6,2,6
2006,1301,1301,1301,0,0,1,0
2007,1306,1306,1287,19,38,2,38
2008,1305,1277,1217,31,91,23,91
2009,1309,1283,1225,30,88,23,88
2010,1244,0,0,0,0,0,0
2011,1250,0,0,0,0,0,0
2012,1222,0,0,0,0,0,0
2013,1199,1199,1199,0,0,1,0
2014,1207,1207,1207,0,0,1,0
2015,1192,1192,1192,0,0,1,0
2016,1154,1154,1154,0,0,1,0
2017,1139,1139,1139,0,0,1,0
2018,1128,1128,1128,0,0,1,0
2019,1093,1093,1093,0,0,1,0
2020,1087,1087,1087,0,0,1,0
2021,1060,1060,1060,0,0,1,0
2022,1038,1038,1038,0,0,1,0
2023,1027,1027,1027,0,0,1,0
2024,1014,1014,1014,0,0,1,0
