metric,value
panel_rows,23593
missing_capacity_rows,15242
zero_capacity_rows,1401
missing_capacity_positive_output_rows,35
zero_capacity_positive_output_rows,14
positive_output_without_positive_capacity_rows,49
positive_output_without_positive_capacity_lineages,6
positive_output_without_positive_capacity_first_year,2007
positive_output_without_positive_capacity_last_year,2024
modeled_events,35
modeled_events_prior_year_positive_output,0
modeled_events_event_year_positive_output,32
strict_two_prior_year_rows,14000
strict_two_prior_year_lineages,1110
strict_two_prior_year_events,30
