fiscal_year,facilities,positive_throughput_facilities,installed_generation_facilities,active_installed_generation_facilities,positive_output_facilities,facility_participation_pct,positive_output_facility_share_pct,active_installed_generation_facility_share_pct,active_positive_output_facility_share_pct,throughput_coverage_pct,engineering_valid_throughput_coverage_pct,installed_design_capacity_share_pct,total_throughput_t,positive_output_throughput_t,valid_output_throughput_t,valid_gross_generation_mwh,conditional_valid_gross_mwh_t,fleet_valid_gross_mwh_t,identity_product_mwh_t,excluded_positive_output_rows
2005,1318,1193,285,274,274,21.62367223,20.78907436,22.9673093,22.9673093,60.47542671,59.35268938,56.02934059,39791586.97,24064132.01,23617377.01,6806247,0.2881880997,0.1710473876,0.1710473876,7
2006,1301,1167,295,283,280,22.67486549,21.52190623,24.25021422,23.99314482,61.93640398,61.29349298,57.62812142,39327527,24358056,24105215,7123688.75,0.2955247962,0.1811374702,0.1811374702,5
2007,1306,1161,297,286,287,22.74119449,21.9754977,24.63393626,24.72006891,62.09540164,61.69965002,57.29634735,38276786,23768124,23616643,7032221.32,0.2977654919,0.1837202664,0.1837202664,7
2008,1305,1146,302,292,289,23.14176245,22.14559387,25.47993019,25.21815009,62.6901089,62.04056214,57.78547052,36827525.74,23087215.99,22848003.99,6809543.55,0.298036693,0.1849036397,0.1849036397,8
2009,1309,1126,312,299,299,23.83498854,22.84186402,26.55417407,26.55417407,63.75712769,63.41075389,58.49936419,35523184.14,22648561.87,22525518.87,6875413.35,0.3052277459,0.1935472148,0.1935472148,4
2010,1244,1100,305,298,297,24.51768489,23.87459807,27.09090909,27,64.58378437,64.22093713,58.38937352,34946110.62,22569520.73,22442719.73,7167538.641,0.3193703226,0.2051026141,0.2051026141,4
2011,1250,1084,312,302,303,24.96,24.24,27.8597786,27.95202952,65.35595724,65.04703494,58.9503352,35124690.42,22956077.65,22847569.65,7408655.934,0.3242645081,0.2109244479,0.2109244479,7
2012,1222,1074,318,307,308,26.02291326,25.20458265,28.58472998,28.67783985,66.17925777,65.43071743,60.00430751,35217073.38,23306397.77,23042783.77,7655090.278,0.3322120432,0.2173687233,0.2173687233,6
2013,1199,1048,322,307,310,26.85571309,25.85487907,29.29389313,29.58015267,67.46774685,66.66854066,60.80762231,34803659.25,23481244.72,23203091.72,7882190.082,0.3397043022,0.2264759008,0.2264759008,7
2014,1207,1021,337,317,318,27.92046396,26.34631317,31.04799216,31.14593536,68.49761962,67.68695023,62.36106647,34271554.31,23475198.91,23197369.91,7866125.213,0.3390955631,0.2295234451,0.2295234451,8
2015,1192,1014,350,331,332,29.36241611,27.85234899,32.64299803,32.74161736,69.7192836,68.98902257,63.8546879,34228922.31,23864159.42,23614198.94,8153468.455,0.3452782149,0.2382040656,0.2382040656,9
2016,1154,995,364,346,348,31.54246101,30.1559792,34.77386935,34.97487437,71.97703877,70.97297531,64.81281271,33908115.58,24406057.5,24065598.5,8753725.102,0.3637443341,0.2581601765,0.2581601765,12
2017,1139,980,374,354,357,32.8358209,31.34328358,36.12244898,36.42857143,73.26940125,72.32823132,65.72685995,33879506.67,24823311.68,24504447.95,9157955.835,0.3737262661,0.2703095982,0.2703095982,10
2018,1128,963,382,365,364,33.86524823,32.26950355,37.90238837,37.79854621,74.04468122,73.55089043,65.99923943,33888643.03,25092737.7,24925398.7,9515869.777,0.3817740246,0.2807981945,0.2807981945,7
2019,1093,940,384,370,372,35.1326624,34.0347667,39.36170213,39.57446809,74.9138452,73.4968838,67.68888381,34220333.71,25635767.82,25150878.91,9829437.421,0.3908188441,0.2872396717,0.2872396717,17
2020,1087,944,386,375,377,35.51057958,34.6826127,39.72457627,39.93644068,75.2006445,74.70612519,66.84216392,33269075.07,25018558.87,24854036.87,10083909.61,0.4057252214,0.3031015918,0.3031015918,9
2021,1060,914,395,384,386,37.26415094,36.41509434,42.0131291,42.23194748,76.93137647,76.56177387,66.99809414,32906703.68,25315580.09,25193956.06,10341638.89,0.410480945,0.3142714929,0.3142714929,9
2022,1038,905,404,396,396,38.92100193,38.15028902,43.75690608,43.75690608,77.60896848,77.03357659,69.22010859,32432080.76,25170203.33,24983591.77,10329979.54,0.4134705542,0.318511156,0.318511156,7
2023,1027,890,409,400,401,39.82473223,39.04576436,44.94382022,45.05617978,78.2989558,77.91844119,69.08442462,31485518.8,24652832.45,24533025.45,10242502.09,0.4174985311,0.3253083474,0.3253083474,7
2024,1014,879,417,408,410,41.12426036,40.43392505,46.41638225,46.64391354,80.09872796,79.67158779,70.50303698,30840696.18,24703005.33,24571272.33,10439042.37,0.4248474489,0.3384827083,0.3384827083,6
