previous_fiscal_year,fiscal_year,previous_rows,current_rows,previous_coded_rows,current_coded_rows,previous_unique_official_codes,current_unique_official_codes,official_code_set_overlap,stable_site_overlap,linked_sites_same_official_code,linked_sites_changed_official_code,linked_sites_missing_code_either_year,official_code_overlap_pct_of_previous,stable_site_overlap_pct_of_previous
2005,2006,1318,1301,1318,1301,1315,1301,1267,1273,1264,9,0,96.34980989,96.58573596
2006,2007,1301,1306,1301,1306,1301,1287,1262,1285,1262,23,0,97.00230592,98.77017679
2007,2008,1306,1305,1306,1277,1287,1217,1123,1278,1141,109,28,87.25718726,97.856049
2008,2009,1305,1309,1277,1283,1217,1225,1178,1271,1231,14,26,96.79539852,97.39463602
2009,2010,1309,1244,1283,0,1225,0,0,1229,0,0,1229,0,93.88846448
2010,2011,1244,1250,0,0,0,0,0,1230,0,0,1230,,98.87459807
2011,2012,1250,1222,0,0,0,0,0,1205,0,0,1205,,96.4
2012,2013,1222,1199,0,1199,0,1199,0,1169,0,0,1169,,95.66284779
2013,2014,1199,1207,1199,1207,1199,1207,1184,1185,1182,3,0,98.74895746,98.8323603
2014,2015,1207,1192,1207,1192,1207,1192,1159,1158,1124,34,0,96.02319801,95.94034797
2015,2016,1192,1154,1192,1154,1192,1154,1138,1138,1119,19,0,95.46979866,95.46979866
2016,2017,1154,1139,1154,1139,1154,1139,1112,1112,1075,37,0,96.36048527,96.36048527
2017,2018,1139,1128,1139,1128,1139,1128,1101,1104,1062,42,0,96.66374012,96.92712906
2018,2019,1128,1093,1128,1093,1128,1093,1077,1081,1044,37,0,95.4787234,95.83333333
2019,2020,1093,1087,1093,1087,1093,1087,0,1064,0,1064,0,0,97.34675206
2020,2021,1087,1060,1087,1060,1087,1060,1039,1044,1039,5,0,95.58417663,96.04415823
2021,2022,1060,1038,1060,1038,1060,1038,1027,1028,1026,2,0,96.88679245,96.98113208
2022,2023,1038,1027,1038,1027,1038,1027,1011,1015,1011,4,0,97.39884393,97.78420039
2023,2024,1027,1014,1027,1014,1027,1014,1002,1003,1002,1,0,97.56572541,97.6630964
