series,pathway_category,event_time,rows,events,mean_gross_mwh_t,median_gross_mwh_t,mean_gross_rank_pct,mean_design_rank_pct,mean_capacity_factor_rank_pct,full_followup_eligible_events
All exact-year entrants,,0,37,37,0.2867117292,0.2700798265,0.4253239073,0.4650004643,0.4404091301,30
All exact-year entrants,,1,44,44,0.3276175756,0.3829803032,0.5162654444,0.4808752705,0.5625102647,37
All exact-year entrants,,2,44,44,0.3356162042,0.4062385119,0.530125046,0.4845138939,0.6088760125,39
All exact-year entrants,,3,41,41,0.3336442531,0.3937866247,0.5287107025,0.4866067314,0.5967322728,41
By pathway,Continuity-lineage entry,0,27,27,0.2366776396,0.2077109897,0.3204999921,0.3987195818,0.4090118958,23
By pathway,Continuity-lineage entry,1,27,27,0.2602216275,0.3359836758,0.4022705093,0.3683728444,0.53768686,25
By pathway,Continuity-lineage entry,2,28,28,0.2578994345,0.2818684605,0.3879959244,0.3507049633,0.5822156756,26
By pathway,Continuity-lineage entry,3,27,27,0.2715561421,0.3472811342,0.4073626699,0.3558304192,0.5995626682,27
By pathway,Forward-dated / placeholder entry,1,6,6,0.4218832997,0.4791578108,0.6470822872,0.6573391364,0.5048480988,4
By pathway,Forward-dated / placeholder entry,2,6,6,0.4769511458,0.4723861015,0.7880635084,0.7241140873,0.6751461613,5
By pathway,Forward-dated / placeholder entry,3,6,6,0.463229267,0.502489426,0.7907178767,0.7546245596,0.6355275666,6
By pathway,Rebuild/replacement-like entry,0,10,10,0.4218037711,0.4905501453,0.7083484785,0.643958847,0.5251816625,7
By pathway,Rebuild/replacement-like entry,1,11,11,0.4416263261,0.4707625224,0.7247165526,0.6607645714,0.6548925304,8
By pathway,Rebuild/replacement-like entry,2,10,10,0.4684221942,0.4782301566,0.7733235092,0.7154187838,0.6437628665,8
By pathway,Rebuild/replacement-like entry,3,8,8,0.4460028671,0.4680845203,0.7417549317,0.7269634137,0.5580832182,8
