analysis_facility_id,fiscal_year,prefecture,facility_name,lag_facility_age_years,lag_capacity_t_day,lag_throughput_t_year,same_asset_episode_as_lag,pathway_category,pathway_basis,calendar_era,capacity_group,reviewer_id,verification_status,verified_event_year,source_title,source_publisher,source_url,source_access_date,archived_url,evidence_locator,review_notes
site_023193e1d0b7,2006,神奈川県,藤沢市北部環境事業所,33,300,40650,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2005-2009,300+,,,,,,,,,,
site_4d342980f1a6,2006,青森県,アックス・グリーン,3,140,32449,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2005-2009,100-199,,,,,,,,,,
site_6958d603c8ad,2006,大阪府,岸和田市貝市クリーンセンター,25,600,109306,False,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2005-2009,300+,,,,,,,,,,
site_b46782955f68,2006,鹿児島県,市来一般廃棄物利用エネルギーセンター,1,24,1508,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2005-2009,<100,,,,,,,,,,
site_e25e6a6fd862,2008,大阪府,泉北クリーンセンター２号炉,3,150,46560,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2005-2009,100-199,,,,,,,,,,
site_4f527b1e3732,2009,福島県,あらかわクリーンセンター,31,180,10485,False,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2005-2009,100-199,,,,,,,,,,
site_ebcd098807af,2009,福島県,田村西部環境センター,2,40,9916,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2005-2009,<100,,,,,,,,,,
site_46a5344f27b5,2010,宮崎県,延岡市清掃工場,24,240,,False,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2010-2014,200-299,,,,,,,,,,
site_e22135c6e858,2010,栃木県,日光市クリーンセンター,19,40,7040,False,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2010-2014,<100,,,,,,,,,,
site_f03c5cb634c1,2012,愛知県,豊川市清掃工場（１、３号炉）,20,134,25139,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2010-2014,100-199,,,,,,,,,,
site_cc9555b7aab4,2014,埼玉県,秩父広域市町村圏組合秩父クリーンセンター,16,150,28130,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2010-2014,100-199,,,,,,,,,,
site_1288f06eacb8,2015,栃木県,環境クリーンセンター（ごみ処理施設）,20,177,24719,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199,,,,,,,,,,
site_28999b476293,2015,新潟県,エコクリーンセンター,21,90,12999,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,<100,,,,,,,,,,
site_501ca8aa361f,2015,青森県,青森市清掃工場,38,450,65954,False,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2015-2019,300+,,,,,,,,,,
site_6a05a758c979,2015,大阪府,泉南清掃事務組合泉南清掃工場,28,190,37366,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199,,,,,,,,,,
site_f91c01e2d37f,2015,岐阜県,掛洞プラント,35,150,16178,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199,,,,,,,,,,
site_2ff0464f124e,2016,佐賀県,唐津市清掃センター,18,150,34777,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199,,,,,,,,,,
site_616104f10a78,2016,福井県,清掃センター,20,222,49593,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,200-299,,,,,,,,,,
site_751344d7173b,2016,埼玉県,坂戸市西清掃センター,21,80,16839,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,<100,,,,,,,,,,
site_b4a84489dafa,2016,愛知県,衣浦衛生組合クリーンセンター衣浦,20,190,37415,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199,,,,,,,,,,
site_e0278c6bb85e,2016,熊本県,東部環境センター,16,70,13263,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,<100,,,,,,,,,,
site_b2a293b3f8a7,2017,福島県,北部清掃センター,35,300,31613.27,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,300+,,,,,,,,,,
site_f7ab4d87540a,2017,奈良県,大和郡山市クリーンセンター・清掃センター,36,180,32201.71,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,100-199,,,,,,,,,,
site_bd04b46dc65a,2019,岩手県,胆江地区衛生センター,24,240,34830,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2015-2019,200-299,,,,,,,,,,
site_d23b768d16db,2019,愛知県,東部知多クリーンセンター,30,240,32734,False,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2015-2019,200-299,,,,,,,,,,
site_4a00a5bd7e56,2021,滋賀県,大津市環境美化センター焼却施設,32,180,48608,False,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2020-2024,100-199,,,,,,,,,,
site_96bbb0cc10e6,2021,滋賀県,守山市環境センター熱回収施設,35,90,17084,False,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2020-2024,<100,,,,,,,,,,
site_ce18fa6b9e97,2021,栃木県,広域クリーンセンター大田原,18,120,22606,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2020-2024,100-199,,,,,,,,,,
site_4bb62fd0b603,2022,滋賀県,大津市北部クリーンセンター焼却施設,32,170,35751,False,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2020-2024,100-199,,,,,,,,,,
site_565be3564272,2022,秋田県,大館クリーンセンター,16,90,13785,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2020-2024,<100,,,,,,,,,,
site_586fe6462fc8,2022,宮城県,大崎広域中央クリーンセンター,33,120,32043.13,False,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2020-2024,100-199,,,,,,,,,,
site_aba00557c392,2022,埼玉県,狭山市稲荷山環境センター(旧名称：　狭山市第二環境センター),25,165,33514,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2020-2024,100-199,,,,,,,,,,
site_110377f88627,2023,静岡県,湖西市環境センター,24,120,0,False,Rebuild/replacement-like entry,"Asset episode, reported start year, or mature-to-new age resets before entry",FY2020-2024,100-199,,,,,,,,,,
site_49507e5c7b4e,2024,千葉県,環境衛生センターごみ処理場1・2・3号炉,28,81,7671,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2020-2024,<100,,,,,,,,,,
site_d3bda35fe022,2024,愛知県,蒲郡市クリーンセンター,26,130,24762,True,Continuity-lineage entry,Same administrative lineage and asset episode remain observed across the entry year,FY2020-2024,100-199,,,,,,,,,,
