validation_pair_id,modeled_event_link,identity_match_uncertain,fuzzy_link,gap_link,fy2019_2020_bridge,name_similarity,same_municipality,same_official_code,configuration_matches,capacity_relative_change,start_year_change,reviewer_a_decision,reviewer_b_decision,adjudication,stable_site_id,match_family
LV0001,False,False,True,False,False,0.857143,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_67d2cfc728a8,official_code_with_other_support
LV0002,False,False,True,False,False,0.818182,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_f16076d7f3ff,official_code_with_other_support
LV0003,False,False,True,False,False,0.628571,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_f227b56b8d54,official_code_with_other_support
LV0004,False,False,True,False,False,0.909091,True,True,4,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_800ac1669524,official_code_with_other_support
LV0005,False,False,True,False,False,0.956522,False,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_405b07aba7b4,official_code_with_other_support
LV0006,False,False,True,False,False,0.846154,True,True,4,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_b5b0bd851959,official_code_with_other_support
LV0007,False,False,True,False,False,0.909091,False,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_d8ac7ec7d7e8,official_code_with_other_support
LV0008,False,False,True,False,False,0.866667,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_5d7261a35d23,official_code_with_other_support
LV0009,False,False,True,False,False,0.640000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_9b595ea9bb1f,official_code_with_other_support
LV0010,False,False,True,False,False,0.692308,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_4487cd12b88a,official_code_with_other_support
LV0011,False,False,True,False,False,0.692308,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_494bf7fba587,official_code_with_other_support
LV0012,False,False,False,False,False,1.000000,False,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_0a78c67ba397,official_code_and_exact_name
LV0013,False,False,True,False,False,0.480000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_d41e231ae50b,official_code_with_other_support
LV0014,False,False,True,False,False,0.800000,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_78528033d8a5,official_code_with_other_support
LV0015,False,False,True,False,False,0.777778,True,True,5,0.000000,0.000000,same administrative facility history,same administrative facility history,same administrative facility history,site_41265ce7f712,official_code_with_other_support
